flight_id,order_id,drone_id,drone_model,fulfillment_site,merchant_id,merchant_name,merchant_category,delivery_zone,launch_at,delivered_at,distance_one_way_km,payload_weight_kg,service_level,promised_minutes,actual_minutes,battery_consumption_pct,wind_speed_kph,visibility_km,status,anomaly_flag,operator_note
FL-US-30017,ORD-US-30017,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Cedar Park,2025-04-01T19:03:00,2025-04-01T19:13:24,4.4,1.27,priority,35,10.4,40.2,17.3,15.0,delivered,none,
FL-US-30018,ORD-US-30018,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Brookfield,2025-04-01T08:13:00,2025-04-01T08:26:30,8.9,1.44,standard,55,13.5,49.4,10.4,15.4,delivered,none,
FL-US-30019,ORD-US-30019,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Brookfield,2025-04-01T08:20:00,2025-04-01T08:31:30,8.9,0.43,time_sensitive,25,11.5,48.2,10.4,15.4,delivered,none,
FL-US-30020,ORD-US-30020,ZIP-US-008,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Cedar Park,2025-04-01T14:02:00,2025-04-01T14:11:42,4.4,0.59,standard,55,9.7,32.0,13.0,16.1,delivered,none,
FL-US-30021,ORD-US-30021,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,North Hills,2025-04-01T08:59:00,2025-04-01T09:11:06,6.8,0.84,standard,55,12.1,42.4,10.4,15.4,delivered,none,
FL-US-30022,ORD-US-30022,ZIP-US-005,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,North Hills,2025-04-01T11:16:00,2025-04-01T11:28:06,6.8,0.8,time_sensitive,25,12.1,44.4,8.4,15.9,delivered,none,
FL-US-30023,ORD-US-30023,ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Brookfield,2025-04-01T10:52:00,2025-04-01T11:02:18,8.9,0.28,standard,55,10.3,49.1,6.9,16.3,delivered,none,
FL-US-30024,ORD-US-30024,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Maplewood,2025-04-01T17:32:00,2025-04-01T17:39:42,2.7,0.32,standard,55,7.7,31.7,18.2,15.3,delivered,none,
FL-US-30025,ORD-US-30025,ZIP-US-004,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,North Hills,2025-04-01T14:07:00,2025-04-01T14:17:06,6.8,0.55,standard,55,10.1,39.0,13.0,16.1,delivered,none,
FL-US-30026,ORD-US-30026,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Maplewood,2025-04-01T12:26:00,2025-04-01T12:34:48,2.7,0.5,standard,55,8.8,27.9,8.7,16.5,delivered,none,
FL-US-30027,ORD-US-30027,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Cedar Park,2025-04-01T17:00:00,2025-04-01T17:09:54,4.4,0.78,standard,55,9.9,37.6,18.2,15.3,delivered,none,
FL-US-30028,ORD-US-30028,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Brookfield,2025-04-01T15:37:00,2025-04-01T15:48:18,8.9,0.57,standard,55,11.3,50.2,14.3,16.6,delivered,none,
FL-US-30029,ORD-US-30029,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Brookfield,2025-04-01T14:39:00,2025-04-01T14:52:42,8.9,0.53,priority,35,13.7,46.9,13.0,16.1,delivered,none,
FL-US-30030,ORD-US-30030,ZIP-US-003,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Cedar Park,2025-04-01T18:08:00,2025-04-01T18:18:30,4.4,0.96,time_sensitive,25,10.5,30.8,13.2,17.4,delivered,none,
FL-US-30031,ORD-US-30031,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,North Hills,2025-04-01T11:07:00,2025-04-01T11:18:12,6.8,1.14,standard,55,11.2,43.0,8.4,15.9,delivered,none,
FL-US-30032,ORD-US-30032,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Brookfield,2025-04-01T18:32:00,2025-04-01T18:43:12,8.9,0.25,standard,55,11.2,47.9,13.2,17.4,delivered,none,
FL-US-30033,ORD-US-30033,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,North Hills,2025-04-01T16:04:00,2025-04-01T16:15:30,6.8,0.67,standard,55,11.5,43.7,18.8,15.6,delivered,none,
FL-US-30034,ORD-US-30034,ZIP-US-002,standardized_commercial_delivery_platform,Northside_Fulfillment,M-001,Green Basket Market,grocery,Cedar Park,2025-04-01T18:10:00,2025-04-01T18:19:54,4.4,1.01,standard,55,9.9,37.3,13.2,17.4,delivered,none,
FL-US-30035,ORD-US-30035,ZIP-US-006,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Maplewood,2025-04-01T09:26:00,2025-04-01T09:34:18,2.7,1.41,standard,55,8.3,34.5,11.3,15.2,delivered,none,
FL-US-30036,ORD-US-30036,ZIP-US-007,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Brookfield,2025-04-01T18:42:00,2025-04-01T18:51:24,8.9,0.87,standard,55,9.4,47.8,13.2,17.4,delivered,none,
FL-US-30037,ORD-US-30037,ZIP-US-008,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Maplewood,2025-04-01T13:59:00,2025-04-01T14:08:30,2.7,1.31,standard,55,9.5,30.0,9.4,17.9,delivered,none,
FL-US-30038,ORD-US-30038,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-004,QuickCare Pharmacy,pharmacy,Maplewood,2025-04-01T16:35:00,2025-04-01T16:44:24,2.7,0.27,standard,55,9.4,27.8,18.8,15.6,delivered,none,
FL-US-30039,ORD-US-30039,ZIP-US-001,standardized_commercial_delivery_platform,Northside_Fulfillment,M-003,Pasta Garden,prepared_food,Maplewood,2025-04-01T10:03:00,2025-04-01T10:11:24,2.7,0.86,standard,55,8.4,30.6,6.9,16.3,delivered,none,
FL-US-30040,ORD-US-30040,ZIP-US-008,standardized_commercial_delivery_platform,Northside_Fulfillment,M-002,Crisp & Co.,prepared_food,Maplewood,2025-04-01T09:49:00,2025-04-01T09:57:54,2.7,0.51,standard,55,8.9,24.7,11.3,15.2,delivered,none,
FL-US-30041,ORD-US-30041,ZIP-US-010,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T11:03:00,2025-04-01T11:13:12,6.3,0.29,time_sensitive,25,10.2,39.8,10.4,16.2,delivered,none,
FL-US-30042,ORD-US-30042,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T15:12:00,2025-04-01T15:24:06,6.3,0.8,standard,55,12.1,42.5,14.7,16.8,delivered,none,
FL-US-30043,ORD-US-30043,ZIP-US-010,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T17:02:00,2025-04-01T17:13:36,6.3,0.19,standard,55,11.6,39.6,16.9,16.1,delivered,none,
FL-US-30044,ORD-US-30044,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,South Park,2025-04-01T18:36:00,2025-04-01T18:48:30,9.2,1.45,priority,35,12.5,52.2,15.6,16.9,delivered,none,
FL-US-30045,ORD-US-30045,ZIP-US-012,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,Westgate,2025-04-01T18:48:00,2025-04-01T18:58:30,6.3,1.39,standard,55,10.5,43.7,15.6,16.9,delivered,none,
FL-US-30046,ORD-US-30046,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Downtown,2025-04-01T12:53:00,2025-04-01T13:00:54,2.2,1.13,standard,55,7.9,31.8,8.2,16.0,delivered,none,
FL-US-30047,ORD-US-30047,ZIP-US-014,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,Westgate,2025-04-01T11:43:00,2025-04-01T11:53:24,6.3,1.35,standard,55,10.4,37.3,10.4,16.2,delivered,none,
FL-US-30048,ORD-US-30048,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T20:07:00,2025-04-01T20:17:36,6.3,0.65,standard,55,10.6,40.2,11.2,16.9,delivered,none,
FL-US-30049,ORD-US-30049,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Riverside,2025-04-01T15:48:00,2025-04-01T15:55:42,4.1,0.72,standard,55,7.7,33.5,14.7,16.8,delivered,none,
FL-US-30050,ORD-US-30050,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,Downtown,2025-04-01T09:47:00,2025-04-01T09:55:54,2.2,0.49,priority,35,8.9,25.6,7.4,16.1,delivered,none,
FL-US-30051,ORD-US-30051,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Westgate,2025-04-01T11:17:00,2025-04-01T11:26:54,6.3,0.86,priority,35,9.9,40.3,10.4,16.2,delivered,none,
FL-US-30052,ORD-US-30052,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,Downtown,2025-04-01T15:30:00,2025-04-01T15:38:24,2.2,1.32,standard,55,8.4,29.7,14.7,16.8,delivered,none,
FL-US-30053,ORD-US-30053,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,South Park,2025-04-01T09:55:00,2025-04-01T10:07:42,9.2,0.76,standard,55,12.7,50.2,7.4,16.1,delivered,none,
FL-US-30054,ORD-US-30054,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Downtown,2025-04-01T15:17:00,2025-04-01T15:25:48,2.2,0.51,standard,55,8.8,27.9,14.7,16.8,delivered,none,
FL-US-30055,ORD-US-30055,ZIP-US-014,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T19:59:00,2025-04-01T20:10:42,6.3,0.92,time_sensitive,25,11.7,37.8,12.9,17.3,delivered,none,
FL-US-30056,ORD-US-30056,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Downtown,2025-04-01T13:28:00,2025-04-01T13:37:12,2.2,0.92,standard,55,9.2,24.2,11.7,15.2,delivered,none,
FL-US-30057,ORD-US-30057,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,South Park,2025-04-01T19:57:00,2025-04-01T20:09:54,9.2,0.37,priority,35,12.9,46.3,12.9,17.3,delivered,none,
FL-US-30058,ORD-US-30058,ZIP-US-012,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Downtown,2025-04-01T13:23:00,2025-04-01T13:31:12,2.2,0.27,standard,55,8.2,26.6,11.7,15.2,delivered,none,
FL-US-30059,ORD-US-30059,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,South Park,2025-04-01T15:06:00,2025-04-01T15:19:24,9.2,0.83,standard,55,13.4,46.9,14.7,16.8,delivered,none,
FL-US-30060,ORD-US-30060,ZIP-US-013,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Riverside,2025-04-01T09:20:00,2025-04-01T09:30:30,4.1,0.67,standard,55,10.5,30.7,7.4,16.1,delivered,none,
FL-US-30061,ORD-US-30061,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Downtown,2025-04-01T12:57:00,2025-04-01T13:04:36,2.2,0.25,standard,55,7.6,23.7,8.2,16.0,delivered,none,
FL-US-30062,ORD-US-30062,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,South Park,2025-04-01T10:09:00,2025-04-01T10:24:12,9.2,1.62,standard,55,15.2,54.8,11.8,17.2,delivered,none,
FL-US-30063,ORD-US-30063,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Downtown,2025-04-01T12:19:00,2025-04-01T12:28:24,2.2,0.91,priority,35,9.4,27.2,8.2,16.0,delivered,none,
FL-US-30064,ORD-US-30064,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Riverside,2025-04-01T10:24:00,2025-04-01T10:34:06,4.1,1.3,standard,55,10.1,34.7,11.8,17.2,delivered,none,
FL-US-30065,ORD-US-30065,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,South Park,2025-04-01T16:41:00,2025-04-01T16:53:36,9.2,0.92,priority,35,12.6,50.7,11.9,17.2,delivered,none,
FL-US-30066,ORD-US-30066,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T15:27:00,2025-04-01T15:35:48,6.3,0.72,standard,55,8.8,38.8,14.7,16.8,delivered,none,
FL-US-30067,ORD-US-30067,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T18:09:00,2025-04-01T18:21:00,6.3,0.71,priority,35,12.0,42.0,15.6,16.9,delivered,none,
FL-US-30068,ORD-US-30068,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,Riverside,2025-04-01T18:27:00,2025-04-01T18:37:30,4.1,0.39,time_sensitive,25,10.5,35.2,15.6,16.9,delivered,none,
FL-US-30069,ORD-US-30069,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,Riverside,2025-04-01T13:16:00,2025-04-01T13:26:42,4.1,1.41,standard,55,10.7,36.4,11.7,15.2,delivered,none,
FL-US-30070,ORD-US-30070,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,South Park,2025-04-01T15:09:00,2025-04-01T15:23:42,9.2,1.51,priority,35,14.7,54.9,14.7,16.8,delivered,none,
FL-US-30071,ORD-US-30071,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,Westgate,2025-04-01T17:47:00,2025-04-01T17:59:36,6.3,1.1,standard,55,12.6,42.9,16.9,16.1,delivered,none,
FL-US-30072,ORD-US-30072,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Westgate,2025-04-01T13:14:00,2025-04-01T13:26:18,6.3,0.59,standard,55,12.3,40.6,11.7,15.2,delivered,none,
FL-US-30073,ORD-US-30073,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,Westgate,2025-04-01T15:16:00,2025-04-01T15:27:36,6.3,0.18,standard,55,11.6,33.9,14.7,16.8,delivered,none,
FL-US-30074,ORD-US-30074,ZIP-US-009,standardized_commercial_delivery_platform,Central_Fulfillment,M-005,Corner Table,prepared_food,South Park,2025-04-01T17:39:00,2025-04-01T17:51:24,9.2,0.99,priority,35,12.4,50.3,16.9,16.1,delivered,none,
FL-US-30075,ORD-US-30075,ZIP-US-011,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,South Park,2025-04-01T13:04:00,2025-04-01T13:16:36,9.2,0.91,standard,55,12.6,50.2,11.7,15.2,delivered,none,
FL-US-30076,ORD-US-30076,ZIP-US-014,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,Downtown,2025-04-01T16:48:00,2025-04-01T16:56:06,2.2,0.64,standard,55,8.1,29.9,11.9,17.2,delivered,none,
FL-US-30077,ORD-US-30077,ZIP-US-015,standardized_commercial_delivery_platform,Central_Fulfillment,M-007,Home & Handy,retail,South Park,2025-04-01T08:37:00,2025-04-01T08:49:36,9.2,0.43,priority,35,12.6,48.5,11.2,15.9,delivered,none,
FL-US-30078,ORD-US-30078,ZIP-US-014,standardized_commercial_delivery_platform,Central_Fulfillment,M-006,Fresh Roots Grocery,grocery,South Park,2025-04-01T18:28:00,2025-04-01T18:40:12,9.2,0.26,priority,35,12.2,48.2,15.6,16.9,delivered,none,
FL-US-30079,ORD-US-30079,ZIP-US-016,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,Riverside,2025-04-01T19:03:00,2025-04-01T19:11:30,4.1,1.56,standard,55,8.5,34.0,12.9,17.3,delivered,none,
FL-US-30080,ORD-US-30080,ZIP-US-013,standardized_commercial_delivery_platform,Central_Fulfillment,M-008,Noodle House,prepared_food,South Park,2025-04-01T18:02:00,2025-04-01T18:13:30,9.2,0.92,standard,55,11.5,48.6,15.6,16.9,delivered,none,
FL-US-30081,ORD-US-30081,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Harbor Point,2025-04-01T17:55:00,2025-04-01T18:08:00,9.5,0.92,standard,55,13.0,48.9,16.2,15.2,delivered,none,
FL-US-30082,ORD-US-30082,ZIP-US-022,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-012,Tech Stop,retail,Meadowview,2025-04-01T19:09:00,2025-04-01T19:18:30,5.0,0.27,priority,35,9.5,37.0,14.6,16.6,delivered,none,
FL-US-30083,ORD-US-30083,ZIP-US-018,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Harbor Point,2025-04-01T09:42:00,2025-04-01T09:54:06,9.5,0.71,priority,35,12.1,50.2,7.5,15.9,delivered,none,
FL-US-30084,ORD-US-30084,ZIP-US-024,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-011,Wellness Pharmacy,pharmacy,Harbor Point,2025-04-01T19:21:00,2025-04-01T19:33:42,9.5,0.43,standard,55,12.7,47.7,14.6,16.6,delivered,none,
FL-US-30085,ORD-US-30085,ZIP-US-024,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-011,Wellness Pharmacy,pharmacy,Harbor Point,2025-04-01T13:15:00,2025-04-01T13:28:54,9.5,0.35,priority,35,13.9,50.4,13.4,16.0,delivered,none,
FL-US-30086,ORD-US-30086,ZIP-US-018,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-011,Wellness Pharmacy,pharmacy,Meadowview,2025-04-01T11:38:00,2025-04-01T11:49:36,5.0,1.12,priority,35,11.6,38.3,13.7,16.0,delivered,none,
FL-US-30087,ORD-US-30087,ZIP-US-020,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-012,Tech Stop,retail,Lakeside,2025-04-01T17:31:00,2025-04-01T17:41:18,2.9,0.93,priority,35,10.3,32.9,16.2,15.2,delivered,none,
FL-US-30088,ORD-US-30088,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-011,Wellness Pharmacy,pharmacy,Harbor Point,2025-04-01T14:20:00,2025-04-01T14:32:12,9.5,0.34,standard,55,12.2,49.5,13.6,15.2,delivered,none,
FL-US-30089,ORD-US-30089,ZIP-US-021,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Meadowview,2025-04-01T13:51:00,2025-04-01T14:01:24,5.0,1.07,standard,55,10.4,36.5,13.4,16.0,delivered,none,
FL-US-30090,ORD-US-30090,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-010,Burger District,prepared_food,East Ridge,2025-04-01T20:23:00,2025-04-01T20:33:06,7.1,1.16,standard,55,10.1,47.1,16.2,16.7,delivered,none,
FL-US-30091,ORD-US-30091,ZIP-US-021,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-010,Burger District,prepared_food,Harbor Point,2025-04-01T20:29:00,2025-04-01T20:41:42,9.5,0.33,standard,55,12.7,51.2,16.2,16.7,delivered,none,
FL-US-30092,ORD-US-30092,ZIP-US-020,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-010,Burger District,prepared_food,East Ridge,2025-04-01T19:27:00,2025-04-01T19:38:00,7.1,0.96,priority,35,11.0,43.4,14.6,16.6,delivered,none,
FL-US-30093,ORD-US-30093,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Meadowview,2025-04-01T15:16:00,2025-04-01T15:26:24,5.0,0.41,standard,55,10.4,33.8,14.1,15.9,delivered,none,
FL-US-30094,ORD-US-30094,ZIP-US-024,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Harbor Point,2025-04-01T16:09:00,2025-04-01T16:21:06,9.5,0.92,standard,55,12.1,51.8,16.8,15.1,delivered,none,
FL-US-30095,ORD-US-30095,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-010,Burger District,prepared_food,East Ridge,2025-04-01T19:29:00,2025-04-01T19:40:36,7.1,0.64,priority,35,11.6,42.2,14.6,16.6,delivered,none,
FL-US-30096,ORD-US-30096,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-009,Daily Mart,grocery,Meadowview,2025-04-01T09:23:00,2025-04-01T09:34:24,5.0,0.67,priority,35,11.4,38.7,7.5,15.9,delivered,none,
FL-US-30097,ORD-US-30097,ZIP-US-017,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-012,Tech Stop,retail,Meadowview,2025-04-01T18:32:00,2025-04-01T18:40:18,5.0,1.5,standard,55,8.3,39.3,14.0,15.1,delivered,none,
FL-US-30098,ORD-US-30098,ZIP-US-018,standardized_commercial_delivery_platform,Eastside_Fulfillment,M-011,Wellness Pharmacy,pharmacy,Harbor Point,2025-04-01T10:27:00,2025-04-01T10:38:48,9.5,0.57,priority,35,11.8,50.3,10.7,17.0,delivered,none,
