observed_at,fulfillment_site,wind_speed_kph,wind_gust_kph,precipitation_mm,temperature_c,visibility_km,operating_condition
2025-04-01T17:00:00,Central_Fulfillment,16.9,22.4,0,21.3,16.1,normal
2025-04-01T18:00:00,Central_Fulfillment,15.6,22.3,0,18.9,16.9,normal
2025-04-01T19:00:00,Central_Fulfillment,12.9,17.4,0,18.4,17.3,normal
2025-04-01T20:00:00,Central_Fulfillment,11.2,19.6,0,15.8,16.9,normal
2025-04-01T21:00:00,Central_Fulfillment,10.0,16.2,0,14.5,16.4,normal
2025-04-01T22:00:00,Central_Fulfillment,13.1,18.1,0,12.4,16.0,normal
2025-04-01T23:00:00,Central_Fulfillment,6.7,8.9,0,13.9,16.3,normal
2025-04-01T00:00:00,Eastside_Fulfillment,12.0,14.7,0,10.0,16.3,normal
2025-04-01T01:00:00,Eastside_Fulfillment,8.8,17.0,0,12.7,17.1,normal
2025-04-01T02:00:00,Eastside_Fulfillment,6.3,13.8,0,12.0,16.3,normal
2025-04-01T03:00:00,Eastside_Fulfillment,5.1,12.1,0,11.8,16.4,normal
2025-04-01T04:00:00,Eastside_Fulfillment,7.5,10.4,0,13.7,17.8,normal
2025-04-01T05:00:00,Eastside_Fulfillment,10.2,18.8,0,14.5,16.4,normal
2025-04-01T06:00:00,Eastside_Fulfillment,7.3,14.4,0,16.0,15.9,normal
2025-04-01T07:00:00,Eastside_Fulfillment,4.7,10.4,0,18.3,18,normal
2025-04-01T08:00:00,Eastside_Fulfillment,7.9,14.5,0,19.7,18,normal
2025-04-01T09:00:00,Eastside_Fulfillment,7.5,13.9,0,20.9,15.9,normal
2025-04-01T10:00:00,Eastside_Fulfillment,10.7,19.5,0,23.0,17.0,normal
2025-04-01T11:00:00,Eastside_Fulfillment,13.7,20.3,0,24.5,16.0,normal
2025-04-01T12:00:00,Eastside_Fulfillment,10.0,15.6,0,24.9,15.6,normal
2025-04-01T13:00:00,Eastside_Fulfillment,13.4,22.1,0,25.6,16.0,normal
2025-04-01T14:00:00,Eastside_Fulfillment,13.6,16.0,0,25.0,15.2,normal
2025-04-01T15:00:00,Eastside_Fulfillment,14.1,19.5,0,22.1,15.9,normal
2025-04-01T16:00:00,Eastside_Fulfillment,16.8,25.6,0,23.3,15.1,normal
2025-04-01T17:00:00,Eastside_Fulfillment,16.2,21.3,0,21.8,15.2,normal
2025-04-01T18:00:00,Eastside_Fulfillment,14.0,17.5,0,20.8,15.1,normal
2025-04-01T19:00:00,Eastside_Fulfillment,14.6,20.0,0,18.4,16.6,normal
2025-04-01T20:00:00,Eastside_Fulfillment,16.2,23.7,0,17.7,16.7,normal
2025-04-01T21:00:00,Eastside_Fulfillment,12.8,21.0,0,15.2,15.9,normal
2025-04-01T22:00:00,Eastside_Fulfillment,8.8,13.2,0,15.2,15.2,normal
2025-04-01T23:00:00,Eastside_Fulfillment,12.0,16.9,0,11.6,14.3,normal
2025-04-02T00:00:00,Northside_Fulfillment,10.7,19.1,0,11.6,14.5,normal
2025-04-02T01:00:00,Northside_Fulfillment,9.0,15.1,0,11.7,15.9,normal
2025-04-02T02:00:00,Northside_Fulfillment,5.1,12.5,0,10.9,15.7,normal
2025-04-02T03:00:00,Northside_Fulfillment,7.9,13.3,0,10.3,16.2,normal
2025-04-02T04:00:00,Northside_Fulfillment,5.3,7.3,0,12.9,17.2,normal
2025-04-02T05:00:00,Northside_Fulfillment,8.5,11.4,0,14.2,16.2,normal
2025-04-02T06:00:00,Northside_Fulfillment,8.5,11.9,0,15.8,14.9,normal
2025-04-02T07:00:00,Northside_Fulfillment,10.0,15.5,0,18.2,16.1,normal
2025-04-02T08:00:00,Northside_Fulfillment,6.9,15.2,0,19.7,16.0,normal
2025-04-02T09:00:00,Northside_Fulfillment,10.3,19.1,0,22.5,16.4,normal
2025-04-02T10:00:00,Northside_Fulfillment,13.7,17.3,0,23.6,14.8,normal
2025-04-02T11:00:00,Northside_Fulfillment,12.7,20.5,0,25.3,16.6,normal
2025-04-02T12:00:00,Northside_Fulfillment,12.5,16.2,0,25.2,16.2,normal
2025-04-02T13:00:00,Northside_Fulfillment,15.4,22.8,0,24.3,15.0,normal
2025-04-02T14:00:00,Northside_Fulfillment,11.4,16.8,0,24.9,16.6,normal
2025-04-02T15:00:00,Northside_Fulfillment,18.5,22.5,0,22.9,15.6,normal
2025-04-02T16:00:00,Northside_Fulfillment,14.6,20.5,0,22.5,15.8,normal
2025-04-02T17:00:00,Northside_Fulfillment,16.0,18.7,0,20.7,17.1,normal
2025-04-02T18:00:00,Northside_Fulfillment,15.6,24.5,0,20.6,15.8,normal
2025-04-02T19:00:00,Northside_Fulfillment,15.4,22.4,0,17.6,18.0,normal
2025-04-02T20:00:00,Northside_Fulfillment,12.3,17.4,0,15.9,17.0,normal
2025-04-02T21:00:00,Northside_Fulfillment,14.0,22.1,0,14.4,16.5,normal
2025-04-02T22:00:00,Northside_Fulfillment,8.5,11.9,0,12.8,15.0,normal
2025-04-02T23:00:00,Northside_Fulfillment,10.8,13.8,0,12.5,17.8,normal
2025-04-02T00:00:00,Central_Fulfillment,9.4,15.0,0,11.3,16.2,normal
2025-04-02T01:00:00,Central_Fulfillment,7.9,10.2,0,11.2,14.4,normal
2025-04-02T02:00:00,Central_Fulfillment,9.1,16.8,0,11.6,15.6,normal
2025-04-02T03:00:00,Central_Fulfillment,9.1,16.8,0,11.9,15.0,normal
2025-04-02T04:00:00,Central_Fulfillment,7.8,9.9,0,12.3,16.2,normal
2025-04-02T05:00:00,Central_Fulfillment,7.4,11.8,0,14.1,17.1,normal
2025-04-02T06:00:00,Central_Fulfillment,9.1,12.1,0,18.1,16.2,normal
2025-04-02T07:00:00,Central_Fulfillment,7.2,10.3,0,18.8,16.8,normal
2025-04-02T08:00:00,Central_Fulfillment,9.8,13.9,0,19.6,14.2,normal
2025-04-02T09:00:00,Central_Fulfillment,9.8,15.9,0,21.2,16.4,normal
2025-04-02T10:00:00,Central_Fulfillment,9.5,16.1,0,22.9,16.6,normal
2025-04-02T11:00:00,Central_Fulfillment,11.6,17.3,0,22.4,16.3,normal
2025-04-02T12:00:00,Central_Fulfillment,10.7,17.6,0,24.1,14.9,normal
2025-04-02T13:00:00,Central_Fulfillment,13.5,17.2,0,25.7,16.1,normal
2025-04-02T14:00:00,Central_Fulfillment,12.8,20.9,0,24.7,16.4,normal
2025-04-02T15:00:00,Central_Fulfillment,13.8,19.9,0,25.9,17.3,normal
2025-04-02T16:00:00,Central_Fulfillment,16.8,18.9,0,22.6,14.9,normal
2025-04-02T17:00:00,Central_Fulfillment,18.0,24.3,0,21.7,12.7,normal
2025-04-02T18:00:00,Central_Fulfillment,14.5,20.5,0,20.3,15.9,normal
2025-04-02T19:00:00,Central_Fulfillment,14.7,21.6,0,18.0,14.7,normal
2025-04-02T20:00:00,Central_Fulfillment,16.4,23.2,0,16.1,15.8,normal
2025-04-02T21:00:00,Central_Fulfillment,15.4,21.0,0,16.1,16.8,normal
2025-04-02T22:00:00,Central_Fulfillment,11.6,15.6,0,13.4,15.6,normal
2025-04-02T23:00:00,Central_Fulfillment,13.7,20.0,0,13.5,15.7,normal
2025-04-02T00:00:00,Eastside_Fulfillment,10.9,16.9,0,11.0,14.8,normal
2025-04-02T01:00:00,Eastside_Fulfillment,10.8,18.5,0,10.6,16.4,normal
2025-04-02T02:00:00,Eastside_Fulfillment,8.1,13.0,0,11.4,16.8,normal
2025-04-02T03:00:00,Eastside_Fulfillment,10.1,16.2,0,11.4,16.4,normal
2025-04-02T04:00:00,Eastside_Fulfillment,6.8,13.4,0,12.4,15.4,normal
2025-04-02T05:00:00,Eastside_Fulfillment,3.2,10.6,0,14.7,15.7,normal
2025-04-02T06:00:00,Eastside_Fulfillment,8.9,17.4,0,17.0,15.9,normal
2025-04-02T07:00:00,Eastside_Fulfillment,4.8,12.0,0,17.4,15.0,normal
2025-04-02T08:00:00,Eastside_Fulfillment,8.4,15.0,0,19.7,15.7,normal
2025-04-02T09:00:00,Eastside_Fulfillment,10.1,13.6,0,21.4,15.6,normal
2025-04-02T10:00:00,Eastside_Fulfillment,11.1,13.7,0,24.1,16.1,normal
2025-04-02T11:00:00,Eastside_Fulfillment,9.3,13.5,0,23.6,14.8,normal
2025-04-02T12:00:00,Eastside_Fulfillment,12.2,20.8,0,24.3,16.4,normal
2025-04-02T13:00:00,Eastside_Fulfillment,12.2,20.2,0,24.0,15.4,normal
2025-04-02T14:00:00,Eastside_Fulfillment,12.0,19.8,0,25.8,16.1,normal
2025-04-02T15:00:00,Eastside_Fulfillment,15.6,18.2,0,24.4,15.2,normal
2025-04-02T16:00:00,Eastside_Fulfillment,16.6,22.2,0,21.9,16.0,normal
2025-04-02T17:00:00,Eastside_Fulfillment,14.2,18.1,0,20.7,17.2,normal
2025-04-02T18:00:00,Eastside_Fulfillment,17.3,24.1,0,19.3,16.7,normal
2025-04-02T19:00:00,Eastside_Fulfillment,16.3,22.3,0,18.4,15.1,normal
2025-04-02T20:00:00,Eastside_Fulfillment,15.1,20.9,0,16.5,16.8,normal
2025-04-02T21:00:00,Eastside_Fulfillment,14.7,19.9,0,15.5,16.2,normal
2025-04-02T22:00:00,Eastside_Fulfillment,14.3,16.8,0,13.2,16.6,normal
2025-04-02T23:00:00,Eastside_Fulfillment,9.6,17.6,0,12.1,16.5,normal
2025-04-03T00:00:00,Northside_Fulfillment,11.7,16.6,0,12.4,15.7,normal
2025-04-03T01:00:00,Northside_Fulfillment,6.8,14.7,0,12.4,16.8,normal
2025-04-03T02:00:00,Northside_Fulfillment,4.9,7.7,0,11.1,14.8,normal
2025-04-03T03:00:00,Northside_Fulfillment,7.3,11.5,0,13.4,15.0,normal
2025-04-03T04:00:00,Northside_Fulfillment,3.7,9.2,0,13.6,16.7,normal
2025-04-03T05:00:00,Northside_Fulfillment,7.5,14.0,0,14.4,17.1,normal
2025-04-03T06:00:00,Northside_Fulfillment,10.1,17.9,0,17.6,15.9,normal
2025-04-03T07:00:00,Northside_Fulfillment,8.9,15.3,0,17.4,15.5,normal
2025-04-03T08:00:00,Northside_Fulfillment,6.5,11.2,0,20.9,14.8,normal
2025-04-03T09:00:00,Northside_Fulfillment,8.4,15.9,0,20.7,14.3,normal
2025-04-03T10:00:00,Northside_Fulfillment,11.2,17.7,0,22.1,15.6,normal
2025-04-03T11:00:00,Northside_Fulfillment,11.4,16.7,0,24.4,18,normal
2025-04-03T12:00:00,Northside_Fulfillment,13.3,19.5,0,24.7,15.8,normal
2025-04-03T13:00:00,Northside_Fulfillment,10.1,13.4,0,24.6,16.0,normal
2025-04-03T14:00:00,Northside_Fulfillment,14.4,19.0,0,23.8,16.0,normal
2025-04-03T15:00:00,Northside_Fulfillment,15.1,17.7,0,24.2,16.7,normal
2025-04-03T16:00:00,Northside_Fulfillment,14.0,17.8,0,22.9,14.8,normal
2025-04-03T17:00:00,Northside_Fulfillment,15.5,21.0,0,21.9,16.8,normal
2025-04-03T18:00:00,Northside_Fulfillment,14.2,22.4,0,20.5,16.6,normal
2025-04-03T19:00:00,Northside_Fulfillment,12.6,15.5,0,17.4,15.8,normal
2025-04-03T20:00:00,Northside_Fulfillment,11.1,19.1,0,16.0,15.7,normal
2025-04-03T21:00:00,Northside_Fulfillment,18.2,20.9,0,14.1,14.2,normal
2025-04-03T22:00:00,Northside_Fulfillment,13.1,20.2,0,13.5,16.8,normal
2025-04-03T23:00:00,Northside_Fulfillment,9.2,11.5,0,11.4,16.3,normal
2025-04-03T00:00:00,Central_Fulfillment,11.0,16.6,0,10.2,15.2,normal
2025-04-03T01:00:00,Central_Fulfillment,5.0,13.0,0,9.9,16.0,normal
2025-04-03T02:00:00,Central_Fulfillment,7.1,13.8,0,11.4,16.2,normal
2025-04-03T03:00:00,Central_Fulfillment,6.8,11.7,0,12.3,16.2,normal
2025-04-03T04:00:00,Central_Fulfillment,6.2,14.6,0,12.9,17.0,normal
2025-04-03T05:00:00,Central_Fulfillment,6.4,8.9,0,15.4,17.6,normal
2025-04-03T06:00:00,Central_Fulfillment,9.4,13.0,0,16.3,15.6,normal
2025-04-03T07:00:00,Central_Fulfillment,7.7,15.2,0,18.6,15.4,normal
2025-04-03T08:00:00,Central_Fulfillment,11.3,18.2,0,20.5,15.5,normal
2025-04-03T09:00:00,Central_Fulfillment,11.1,14.5,0,21.5,16.3,normal
2025-04-03T10:00:00,Central_Fulfillment,10.3,14.1,0,23.4,15.1,normal
2025-04-03T11:00:00,Central_Fulfillment,9.6,13.1,0,22.8,14.2,normal
2025-04-03T12:00:00,Central_Fulfillment,12.6,15.6,0,23.8,16.9,normal
2025-04-03T13:00:00,Central_Fulfillment,17.2,25.1,0,24.7,15.0,normal
2025-04-03T14:00:00,Central_Fulfillment,14.3,16.9,0,26.7,17.5,normal
2025-04-03T15:00:00,Central_Fulfillment,14.8,17.2,0,23.3,16.1,normal
2025-04-03T16:00:00,Central_Fulfillment,12.0,16.6,0,23.2,15.5,normal
2025-04-03T17:00:00,Central_Fulfillment,13.8,22.3,0,21.6,15.7,normal
2025-04-03T18:00:00,Central_Fulfillment,15.9,24.5,0,19.6,16.1,normal
2025-04-03T19:00:00,Central_Fulfillment,15.8,18.3,0,19.9,17.4,normal
2025-04-03T20:00:00,Central_Fulfillment,14.1,21.2,0,15.4,13.6,normal
2025-04-03T21:00:00,Central_Fulfillment,12.4,17.8,0,13.6,15.3,normal
2025-04-03T22:00:00,Central_Fulfillment,12.4,18.0,0,13.1,15.4,normal
2025-04-03T23:00:00,Central_Fulfillment,15.9,18.6,0,11.3,16.1,normal
2025-04-03T00:00:00,Eastside_Fulfillment,6.7,9.4,0,10.0,17.1,normal
2025-04-03T01:00:00,Eastside_Fulfillment,7.5,11.4,0,9.8,16.7,normal
2025-04-03T02:00:00,Eastside_Fulfillment,6.7,10.2,0,11.6,15.4,normal
2025-04-03T03:00:00,Eastside_Fulfillment,6.8,11.9,0,11.2,16.2,normal
2025-04-03T04:00:00,Eastside_Fulfillment,6.6,9.9,0,14.0,16.8,normal
2025-04-03T05:00:00,Eastside_Fulfillment,3.4,6.2,0,16.1,15.8,normal
2025-04-03T06:00:00,Eastside_Fulfillment,9.2,13.5,0,16.2,16.4,normal
2025-04-03T07:00:00,Eastside_Fulfillment,5.7,9.4,0,18.8,14.4,normal
2025-04-03T08:00:00,Eastside_Fulfillment,7.9,12.0,0,19.7,14.9,normal
2025-04-03T09:00:00,Eastside_Fulfillment,11.4,14.1,0,22.2,15.8,normal
2025-04-03T10:00:00,Eastside_Fulfillment,8.1,15.2,0,24.0,15.1,normal
2025-04-03T11:00:00,Eastside_Fulfillment,11.9,20.1,0,24.1,15.5,normal
2025-04-03T12:00:00,Eastside_Fulfillment,10.0,18.3,0,24.0,15.4,normal
2025-04-03T13:00:00,Eastside_Fulfillment,14.0,17.5,0,24.7,15.2,normal
2025-04-03T14:00:00,Eastside_Fulfillment,16.4,18.9,0,24.1,15.6,normal
2025-04-03T15:00:00,Eastside_Fulfillment,17.1,21.0,0,24.8,16.1,normal
2025-04-03T16:00:00,Eastside_Fulfillment,19.1,22.1,0,21.8,17.3,normal
2025-04-03T17:00:00,Eastside_Fulfillment,10.5,15.5,0,21.1,15.6,normal
2025-04-03T18:00:00,Eastside_Fulfillment,16.3,23.3,0,20.1,15.4,normal
2025-04-03T19:00:00,Eastside_Fulfillment,13.1,16.3,0,18.9,16.4,normal
2025-04-03T20:00:00,Eastside_Fulfillment,13.7,17.3,0,16.1,15.6,normal
2025-04-03T21:00:00,Eastside_Fulfillment,15.2,23.8,0,14.7,17.8,normal
2025-04-03T22:00:00,Eastside_Fulfillment,9.7,13.1,0,13.9,15.3,normal
2025-04-03T23:00:00,Eastside_Fulfillment,8.4,16.6,0,11.6,16.8,normal
2025-04-04T00:00:00,Northside_Fulfillment,10.1,15.9,0,11.0,15.6,normal
2025-04-04T01:00:00,Northside_Fulfillment,13.3,18.9,0,11.7,16.3,normal
2025-04-04T02:00:00,Northside_Fulfillment,12.2,19.1,0,11.1,15.9,normal
2025-04-04T03:00:00,Northside_Fulfillment,8.1,15.8,0,12.5,15.1,normal
2025-04-04T04:00:00,Northside_Fulfillment,9.1,11.9,0,13.2,17.3,normal
2025-04-04T05:00:00,Northside_Fulfillment,9.2,17.4,0,15.7,16.2,normal
2025-04-04T06:00:00,Northside_Fulfillment,7.4,11.5,0,15.6,15.9,normal
2025-04-04T07:00:00,Northside_Fulfillment,8.2,16.8,0,17.8,15.8,normal
2025-04-04T08:00:00,Northside_Fulfillment,5.8,11.5,0,19.9,15.4,normal
2025-04-04T09:00:00,Northside_Fulfillment,9.8,14.8,0,22.1,16.7,normal
2025-04-04T10:00:00,Northside_Fulfillment,9.7,12.7,0,22.3,14.4,normal
2025-04-04T11:00:00,Northside_Fulfillment,9.8,14.5,0,24.6,17.5,normal
2025-04-04T12:00:00,Northside_Fulfillment,16.6,19.1,0,25.0,16.5,normal
2025-04-04T13:00:00,Northside_Fulfillment,12.8,16.5,0,25.4,14.8,normal
2025-04-04T14:00:00,Northside_Fulfillment,12.9,17.2,0,25.7,14.3,normal
2025-04-04T15:00:00,Northside_Fulfillment,12.7,21.6,0,23.3,15.8,normal
2025-04-04T16:00:00,Northside_Fulfillment,13.4,21.5,0,22.7,15.5,normal
2025-04-04T17:00:00,Northside_Fulfillment,18.4,26.7,0,20.8,16.7,normal
2025-04-04T18:00:00,Northside_Fulfillment,14.3,16.7,0,20.4,15.9,normal
2025-04-04T19:00:00,Northside_Fulfillment,12.7,19.9,0,17.2,15.9,normal
2025-04-04T20:00:00,Northside_Fulfillment,13.6,20.7,0,15.1,15.6,normal
2025-04-04T21:00:00,Northside_Fulfillment,13.0,19.4,0,16.2,17.1,normal
2025-04-04T22:00:00,Northside_Fulfillment,9.0,13.1,0,14.3,16.0,normal
2025-04-04T23:00:00,Northside_Fulfillment,12.8,18.5,0,12.4,16.3,normal
2025-04-04T00:00:00,Central_Fulfillment,11.5,19.0,0,12.3,15.6,normal
2025-04-04T01:00:00,Central_Fulfillment,9.5,15.5,0,10.9,14.3,normal
2025-04-04T02:00:00,Central_Fulfillment,6.4,14.8,0,11.3,17.9,normal
2025-04-04T03:00:00,Central_Fulfillment,10.0,15.4,0,12.2,16.5,normal
2025-04-04T04:00:00,Central_Fulfillment,7.4,13.8,0,13.5,14.4,normal
2025-04-04T05:00:00,Central_Fulfillment,6.3,10.4,0,15.4,15.7,normal
2025-04-04T06:00:00,Central_Fulfillment,6.7,14.5,0,16.1,16.1,normal
2025-04-04T07:00:00,Central_Fulfillment,7.3,12.6,0,17.8,16.2,normal
2025-04-04T08:00:00,Central_Fulfillment,8.0,13.0,0,19.4,16.3,normal
2025-04-04T09:00:00,Central_Fulfillment,8.2,15.2,0,22.1,15.8,normal
2025-04-04T10:00:00,Central_Fulfillment,6.4,9.0,0,22.8,16.3,normal
2025-04-04T11:00:00,Central_Fulfillment,9.0,16.4,0,24.9,14.9,normal
2025-04-04T12:00:00,Central_Fulfillment,11.4,13.8,0,24.9,15.4,normal
2025-04-04T13:00:00,Central_Fulfillment,15.4,22.2,0,24.0,15.9,normal
2025-04-04T14:00:00,Central_Fulfillment,13.6,21.4,0,24.8,14.4,normal
2025-04-04T15:00:00,Central_Fulfillment,12.7,16.8,0,24.0,17.0,normal
2025-04-04T16:00:00,Central_Fulfillment,14.8,19.3,0,24.9,15.0,normal
2025-04-04T17:00:00,Central_Fulfillment,10.9,13.4,0,23.0,16.3,normal
2025-04-04T18:00:00,Central_Fulfillment,12.1,20.0,0,20.8,16.9,normal
2025-04-04T19:00:00,Central_Fulfillment,14.8,21.2,0,18.6,18,normal
2025-04-04T20:00:00,Central_Fulfillment,13.0,17.1,0,16.4,15.2,normal
2025-04-04T21:00:00,Central_Fulfillment,11.6,20.5,0,13.9,16.9,normal
2025-04-04T22:00:00,Central_Fulfillment,12.9,17.2,0,13.2,16.6,normal
2025-04-04T23:00:00,Central_Fulfillment,13.5,20.8,0,11.1,16.3,normal
2025-04-04T00:00:00,Eastside_Fulfillment,8.7,17.1,0,9.2,16.8,normal
2025-04-04T01:00:00,Eastside_Fulfillment,9.0,13.8,0,10.3,15.6,normal
2025-04-04T02:00:00,Eastside_Fulfillment,10.6,14.2,0,10.3,15.9,normal
2025-04-04T03:00:00,Eastside_Fulfillment,9.8,14.9,0,11.8,14.6,normal
2025-04-04T04:00:00,Eastside_Fulfillment,3.8,7.6,0,12.6,15.8,normal
2025-04-04T05:00:00,Eastside_Fulfillment,4.7,7.3,0,14.6,16.5,normal
2025-04-04T06:00:00,Eastside_Fulfillment,7.5,11.7,0,15.9,15.6,normal
2025-04-04T07:00:00,Eastside_Fulfillment,7.2,9.8,0,18.1,15.4,normal
2025-04-04T08:00:00,Eastside_Fulfillment,8.7,14.0,0,19.4,16.6,normal
2025-04-04T09:00:00,Eastside_Fulfillment,5.1,9.5,0,22.1,15.8,normal
2025-04-04T10:00:00,Eastside_Fulfillment,9.0,17.6,0,21.4,15.8,normal
2025-04-04T11:00:00,Eastside_Fulfillment,6.9,11.8,0,24.1,15.1,normal
2025-04-04T12:00:00,Eastside_Fulfillment,11.8,16.0,0,22.7,15.7,normal
2025-04-04T13:00:00,Eastside_Fulfillment,15.4,21.9,0,26.0,16.2,normal
2025-04-04T14:00:00,Eastside_Fulfillment,10.5,12.8,0,25.5,16.5,normal
2025-04-04T15:00:00,Eastside_Fulfillment,10.3,15.2,0,23.3,15.4,normal
2025-04-04T16:00:00,Eastside_Fulfillment,16.5,21.0,0,25.2,17.0,normal
2025-04-04T17:00:00,Eastside_Fulfillment,16.0,19.0,0,19.7,16.7,normal
2025-04-04T18:00:00,Eastside_Fulfillment,16.4,23.8,0,19.6,16.2,normal
2025-04-04T19:00:00,Eastside_Fulfillment,16.6,24.1,0,18.2,16.3,normal
2025-04-04T20:00:00,Eastside_Fulfillment,13.2,18.6,0,15.3,16.1,normal
2025-04-04T21:00:00,Eastside_Fulfillment,12.3,21.3,0,13.9,16.5,normal
2025-04-04T22:00:00,Eastside_Fulfillment,10.6,19.3,0,13.0,16.3,normal
2025-04-04T23:00:00,Eastside_Fulfillment,10.1,14.6,0,12.8,15.0,normal
2025-04-05T00:00:00,Northside_Fulfillment,9.4,13.0,0,11.4,16.5,normal
2025-04-05T01:00:00,Northside_Fulfillment,7.3,15.9,0,9.6,14.7,normal
2025-04-05T02:00:00,Northside_Fulfillment,10.2,15.3,0,10.9,17.9,normal
2025-04-05T03:00:00,Northside_Fulfillment,2.4,5.8,0,13.6,16.3,normal
2025-04-05T04:00:00,Northside_Fulfillment,6.4,10.1,0,13.3,16.3,normal
2025-04-05T05:00:00,Northside_Fulfillment,7.6,16.4,0,16.7,15.4,normal
2025-04-05T06:00:00,Northside_Fulfillment,9.9,12.1,0,16.3,17.1,normal
2025-04-05T07:00:00,Northside_Fulfillment,8.3,16.0,0,18.7,16.6,normal
2025-04-05T08:00:00,Northside_Fulfillment,5.5,9.3,0,19.7,17.0,normal
2025-04-05T09:00:00,Northside_Fulfillment,11.2,18.6,0,22.2,16.7,normal
2025-04-05T10:00:00,Northside_Fulfillment,11.5,20.1,0,22.3,16.5,normal
2025-04-05T11:00:00,Northside_Fulfillment,10.1,17.6,0,24.3,16.3,normal
2025-04-05T12:00:00,Northside_Fulfillment,13.4,20.4,0,24.9,17.6,normal
2025-04-05T13:00:00,Northside_Fulfillment,15.8,20.4,0,24.8,15.6,normal
2025-04-05T14:00:00,Northside_Fulfillment,14.8,18.8,0,24.0,16.2,normal
2025-04-05T15:00:00,Northside_Fulfillment,13.3,19.7,0,23.7,13.7,normal
2025-04-05T16:00:00,Northside_Fulfillment,14.1,20.3,0,23.7,15.1,normal
2025-04-05T17:00:00,Northside_Fulfillment,15.4,19.1,0,22.0,15.9,normal
2025-04-05T18:00:00,Northside_Fulfillment,12.3,16.3,0,20.1,14.8,normal
2025-04-05T19:00:00,Northside_Fulfillment,16.6,19.2,0,17.6,16.6,normal
