telemetry_id,flight_id,drone_id,recorded_at,phase,battery_pct,battery_temp_c,cell_voltage_spread_mv,motor_vibration_mm_s,gps_hdop,tether_descent_sec,sensor_status
TEL-30009-pickup,FL-US-30008,ZIP-US-008,2025-04-01T17:47:00,pickup,100,33.1,19.9,0.99,0.84,37.0,nominal
TEL-30009-outbound,FL-US-30008,ZIP-US-008,2025-04-01T17:53:06,outbound,73.1,31.9,18.6,0.81,0.76,35.9,nominal
TEL-30009-recovery,FL-US-30008,ZIP-US-008,2025-04-01T17:58:35,recovery,48.8,31.2,22.3,1.14,0.53,38.3,nominal
TEL-30010-pickup,FL-US-30009,ZIP-US-002,2025-04-01T16:00:00,pickup,100,31.4,15.3,1.05,0.7,36.8,nominal
TEL-30010-outbound,FL-US-30009,ZIP-US-002,2025-04-01T16:03:36,outbound,84.7,29.8,16.5,1.16,0.74,37.3,nominal
TEL-30010-recovery,FL-US-30009,ZIP-US-002,2025-04-01T16:06:50,recovery,71.0,28.7,21.4,0.98,0.92,37.7,nominal
TEL-30011-pickup,FL-US-30010,ZIP-US-001,2025-04-01T17:17:00,pickup,100,30.7,19.4,1.03,0.5,37.3,nominal
TEL-30011-outbound,FL-US-30010,ZIP-US-001,2025-04-01T17:20:48,outbound,84.8,28.8,23.5,1.07,0.5,38.0,nominal
TEL-30011-recovery,FL-US-30010,ZIP-US-001,2025-04-01T17:24:13,recovery,71.0,29.9,22.3,0.78,0.55,37.3,nominal
TEL-30012-pickup,FL-US-30011,ZIP-US-002,2025-04-01T14:13:00,pickup,100,30.4,13.6,1.16,0.6,38.0,nominal
TEL-30012-outbound,FL-US-30011,ZIP-US-002,2025-04-01T14:18:03,outbound,82.1,29.8,15.6,0.86,0.67,37.3,nominal
TEL-30012-recovery,FL-US-30011,ZIP-US-002,2025-04-01T14:22:35,recovery,66.0,30.7,23.0,1.06,0.91,37.4,nominal
TEL-30013-pickup,FL-US-30012,ZIP-US-006,2025-04-01T13:01:00,pickup,100,30.8,21.1,0.88,0.87,35.3,nominal
TEL-30013-outbound,FL-US-30012,ZIP-US-006,2025-04-01T13:06:24,outbound,78.1,31.5,17.1,1.22,0.97,36.6,nominal
TEL-30013-recovery,FL-US-30012,ZIP-US-006,2025-04-01T13:11:15,recovery,58.4,30.4,22.7,1.04,0.91,34.9,nominal
TEL-30014-pickup,FL-US-30013,ZIP-US-005,2025-04-01T11:22:00,pickup,100,29.6,16.8,0.86,0.9,37.3,nominal
TEL-30014-outbound,FL-US-30013,ZIP-US-005,2025-04-01T11:27:18,outbound,77.5,30.9,17.1,0.9,0.91,38.5,nominal
TEL-30014-recovery,FL-US-30013,ZIP-US-005,2025-04-01T11:32:04,recovery,57.3,32.8,20.0,0.99,1.14,35.8,nominal
TEL-30015-pickup,FL-US-30014,ZIP-US-006,2025-04-01T09:17:00,pickup,100,30.8,24.4,0.8,0.76,38.7,nominal
TEL-30015-outbound,FL-US-30014,ZIP-US-006,2025-04-01T09:22:12,outbound,82.0,29.4,20.9,1.09,0.86,37.8,nominal
TEL-30015-recovery,FL-US-30014,ZIP-US-006,2025-04-01T09:26:52,recovery,65.9,30.3,21.5,1.11,0.9,36.5,nominal
TEL-30016-pickup,FL-US-30015,ZIP-US-007,2025-04-01T14:29:00,pickup,100,29.9,11.9,1.1,1.08,38.3,nominal
TEL-30016-outbound,FL-US-30015,ZIP-US-007,2025-04-01T14:34:30,outbound,81.0,29.5,21.6,0.99,0.54,36.1,nominal
TEL-30016-recovery,FL-US-30015,ZIP-US-007,2025-04-01T14:39:27,recovery,63.9,31.6,24.2,0.88,1.02,37.4,nominal
TEL-30017-pickup,FL-US-30016,ZIP-US-007,2025-04-01T19:01:00,pickup,100,31.6,18.8,1.18,0.81,37.8,nominal
TEL-30017-outbound,FL-US-30016,ZIP-US-007,2025-04-01T19:05:33,outbound,75.5,31.0,12.1,0.8,0.5,37.0,nominal
TEL-30017-recovery,FL-US-30016,ZIP-US-007,2025-04-01T19:09:38,recovery,53.4,31.6,17.5,0.7,0.89,37.0,nominal
TEL-30018-pickup,FL-US-30017,ZIP-US-006,2025-04-01T19:03:00,pickup,100,32.0,16.3,0.92,0.66,37.8,nominal
TEL-30018-outbound,FL-US-30017,ZIP-US-006,2025-04-01T19:08:12,outbound,79.9,33.0,23.8,1.05,1.12,36.8,nominal
TEL-30018-recovery,FL-US-30017,ZIP-US-006,2025-04-01T19:12:52,recovery,61.8,31.8,22.5,1.05,0.82,36.3,nominal
TEL-30019-pickup,FL-US-30018,ZIP-US-007,2025-04-01T08:13:00,pickup,100,31.4,14.9,1.11,0.51,37.7,nominal
TEL-30019-outbound,FL-US-30018,ZIP-US-007,2025-04-01T08:19:45,outbound,75.3,32.8,17.1,0.87,0.75,37.5,nominal
TEL-30019-recovery,FL-US-30018,ZIP-US-007,2025-04-01T08:25:49,recovery,53.1,30.7,15.4,1.09,0.71,37.2,nominal
TEL-30020-pickup,FL-US-30019,ZIP-US-001,2025-04-01T08:20:00,pickup,100,32.1,24.0,1.06,0.91,37.0,nominal
TEL-30020-outbound,FL-US-30019,ZIP-US-001,2025-04-01T08:25:45,outbound,75.9,32.9,27.9,0.84,0.85,37.0,nominal
TEL-30020-recovery,FL-US-30019,ZIP-US-001,2025-04-01T08:30:55,recovery,54.2,32.1,16.3,0.84,0.94,37.6,nominal
TEL-30021-pickup,FL-US-30020,ZIP-US-008,2025-04-01T14:02:00,pickup,100,30.4,20.2,1.14,0.55,39.1,nominal
TEL-30021-outbound,FL-US-30020,ZIP-US-008,2025-04-01T14:06:51,outbound,84.0,29.0,16.0,1.02,0.87,36.1,nominal
TEL-30021-recovery,FL-US-30020,ZIP-US-008,2025-04-01T14:11:12,recovery,69.6,30.7,19.7,0.85,0.74,36.0,nominal
TEL-30022-pickup,FL-US-30021,ZIP-US-001,2025-04-01T08:59:00,pickup,100,32.5,20.5,0.86,1.1,35.8,nominal
TEL-30022-outbound,FL-US-30021,ZIP-US-001,2025-04-01T09:05:03,outbound,78.8,31.2,25.2,1.02,0.55,37.0,nominal
TEL-30022-recovery,FL-US-30021,ZIP-US-001,2025-04-01T09:10:29,recovery,59.7,31.3,22.7,0.82,1.23,35.7,nominal
TEL-30023-pickup,FL-US-30022,ZIP-US-005,2025-04-01T11:16:00,pickup,100,32.6,21.3,0.94,0.83,38.1,nominal
TEL-30023-outbound,FL-US-30022,ZIP-US-005,2025-04-01T11:22:03,outbound,77.8,31.5,15.6,1.1,0.85,38.6,nominal
TEL-30023-recovery,FL-US-30022,ZIP-US-005,2025-04-01T11:27:29,recovery,57.8,30.6,20.1,0.99,0.68,37.0,nominal
TEL-30024-pickup,FL-US-30023,ZIP-US-004,2025-04-01T10:52:00,pickup,100,32.8,18.1,1.02,0.72,35.8,nominal
TEL-30024-outbound,FL-US-30023,ZIP-US-004,2025-04-01T10:57:09,outbound,75.4,31.9,22.4,1.0,0.57,37.6,nominal
TEL-30024-recovery,FL-US-30023,ZIP-US-004,2025-04-01T11:01:47,recovery,53.3,32.8,23.1,0.8,1.01,36.6,nominal
TEL-30025-pickup,FL-US-30024,ZIP-US-002,2025-04-01T17:32:00,pickup,100,30.3,18.6,0.9,0.54,35.6,nominal
TEL-30025-outbound,FL-US-30024,ZIP-US-002,2025-04-01T17:35:51,outbound,84.1,30.3,20.4,1.25,1.1,36.2,nominal
TEL-30025-recovery,FL-US-30024,ZIP-US-002,2025-04-01T17:39:18,recovery,69.8,29.7,14.6,1.02,0.62,37.0,nominal
TEL-30026-pickup,FL-US-30025,ZIP-US-004,2025-04-01T14:07:00,pickup,100,29.6,24.0,1.38,0.75,36.5,nominal
TEL-30026-outbound,FL-US-30025,ZIP-US-004,2025-04-01T14:12:03,outbound,80.5,31.5,19.4,1.01,0.8,37.3,nominal
TEL-30026-recovery,FL-US-30025,ZIP-US-004,2025-04-01T14:16:35,recovery,62.9,28.6,18.9,1.03,0.75,37.8,nominal
TEL-30027-pickup,FL-US-30026,ZIP-US-006,2025-04-01T12:26:00,pickup,100,30.4,22.3,1.07,1.12,36.9,nominal
TEL-30027-outbound,FL-US-30026,ZIP-US-006,2025-04-01T12:30:24,outbound,86.1,27.7,21.2,0.75,0.69,37.1,nominal
TEL-30027-recovery,FL-US-30026,ZIP-US-006,2025-04-01T12:34:21,recovery,73.5,30.1,22.0,0.91,0.83,36.6,nominal
TEL-30028-pickup,FL-US-30027,ZIP-US-007,2025-04-01T17:00:00,pickup,100,30.4,23.6,1.22,0.87,35.7,nominal
TEL-30028-outbound,FL-US-30027,ZIP-US-007,2025-04-01T17:04:57,outbound,81.2,31.0,15.7,1.05,1.01,34.9,nominal
TEL-30028-recovery,FL-US-30027,ZIP-US-007,2025-04-01T17:09:24,recovery,64.3,30.5,22.3,0.87,0.83,36.4,nominal
TEL-30029-pickup,FL-US-30028,ZIP-US-006,2025-04-01T15:37:00,pickup,100,31.8,20.6,0.9,0.83,37.0,nominal
TEL-30029-outbound,FL-US-30028,ZIP-US-006,2025-04-01T15:42:39,outbound,74.9,31.7,23.3,1.04,0.5,38.5,nominal
TEL-30029-recovery,FL-US-30028,ZIP-US-006,2025-04-01T15:47:44,recovery,52.3,31.6,14.1,1.07,1.08,37.2,nominal
TEL-30030-pickup,FL-US-30029,ZIP-US-001,2025-04-01T14:39:00,pickup,100,31.9,17.8,0.74,1.07,36.3,nominal
TEL-30030-outbound,FL-US-30029,ZIP-US-001,2025-04-01T14:45:51,outbound,76.6,32.4,24.6,0.95,0.62,35.4,nominal
TEL-30030-recovery,FL-US-30029,ZIP-US-001,2025-04-01T14:52:00,recovery,55.5,31.6,16.8,1.07,1.15,36.6,nominal
TEL-30031-pickup,FL-US-30030,ZIP-US-003,2025-04-01T18:08:00,pickup,100,30.7,24.2,0.89,0.81,38.6,nominal
TEL-30031-outbound,FL-US-30030,ZIP-US-003,2025-04-01T18:13:15,outbound,84.6,29.1,17.0,0.92,0.91,38.2,nominal
TEL-30031-recovery,FL-US-30030,ZIP-US-003,2025-04-01T18:17:58,recovery,70.7,29.9,23.5,0.96,1.02,38.1,nominal
TEL-30032-pickup,FL-US-30031,ZIP-US-002,2025-04-01T11:07:00,pickup,100,32.8,22.3,0.82,0.85,38.6,nominal
TEL-30032-outbound,FL-US-30031,ZIP-US-002,2025-04-01T11:12:36,outbound,78.5,31.3,21.0,0.94,0.86,37.4,nominal
TEL-30032-recovery,FL-US-30031,ZIP-US-002,2025-04-01T11:17:38,recovery,59.2,30.1,14.9,0.97,0.82,37.5,nominal
TEL-30033-pickup,FL-US-30032,ZIP-US-007,2025-04-01T18:32:00,pickup,100,30.5,23.3,1.11,0.55,37.0,nominal
TEL-30033-outbound,FL-US-30032,ZIP-US-007,2025-04-01T18:37:36,outbound,76.1,32.2,21.7,1.06,0.72,38.4,nominal
TEL-30033-recovery,FL-US-30032,ZIP-US-007,2025-04-01T18:42:38,recovery,54.5,33.9,20.0,1.09,0.72,37.6,nominal
TEL-30034-pickup,FL-US-30033,ZIP-US-007,2025-04-01T16:04:00,pickup,100,31.6,19.6,0.87,0.5,36.6,nominal
TEL-30034-outbound,FL-US-30033,ZIP-US-007,2025-04-01T16:09:45,outbound,78.1,31.3,27.5,1.07,0.93,36.9,nominal
TEL-30034-recovery,FL-US-30033,ZIP-US-007,2025-04-01T16:14:55,recovery,58.4,29.5,24.6,1.06,0.5,36.7,nominal
TEL-30035-pickup,FL-US-30034,ZIP-US-002,2025-04-01T18:10:00,pickup,100,31.1,20.7,0.65,0.91,36.5,nominal
TEL-30035-outbound,FL-US-30034,ZIP-US-002,2025-04-01T18:14:57,outbound,81.4,28.6,18.2,0.93,1.19,37.0,nominal
TEL-30035-recovery,FL-US-30034,ZIP-US-002,2025-04-01T18:19:24,recovery,64.6,30.2,17.3,0.97,0.53,37.8,nominal
TEL-30036-pickup,FL-US-30035,ZIP-US-006,2025-04-01T09:26:00,pickup,100,31.6,16.8,1.09,0.74,36.4,nominal
TEL-30036-outbound,FL-US-30035,ZIP-US-006,2025-04-01T09:30:09,outbound,82.8,31.4,23.3,0.88,0.71,36.5,nominal
TEL-30036-recovery,FL-US-30035,ZIP-US-006,2025-04-01T09:33:53,recovery,67.3,31.7,18.4,1.1,0.8,35.2,nominal
TEL-30037-pickup,FL-US-30036,ZIP-US-007,2025-04-01T18:42:00,pickup,100,31.7,18.1,0.7,0.75,35.4,nominal
TEL-30037-outbound,FL-US-30036,ZIP-US-007,2025-04-01T18:46:42,outbound,76.1,31.6,20.1,1.01,0.64,36.1,nominal
TEL-30037-recovery,FL-US-30036,ZIP-US-007,2025-04-01T18:50:55,recovery,54.6,31.5,21.6,0.96,0.53,35.6,nominal
TEL-30038-pickup,FL-US-30037,ZIP-US-008,2025-04-01T13:59:00,pickup,100,31.7,18.1,1.17,0.76,39.4,nominal
TEL-30038-outbound,FL-US-30037,ZIP-US-008,2025-04-01T14:03:45,outbound,85.0,29.6,22.7,1.12,1.01,36.3,nominal
TEL-30038-recovery,FL-US-30037,ZIP-US-008,2025-04-01T14:08:01,recovery,71.5,29.5,23.0,0.92,0.89,35.0,nominal
TEL-30039-pickup,FL-US-30038,ZIP-US-001,2025-04-01T16:35:00,pickup,100,29.9,17.6,1.01,0.64,36.8,nominal
TEL-30039-outbound,FL-US-30038,ZIP-US-001,2025-04-01T16:39:42,outbound,86.1,28.7,14.8,1.07,0.66,39.1,nominal
TEL-30039-recovery,FL-US-30038,ZIP-US-001,2025-04-01T16:43:55,recovery,73.6,30.3,21.7,1.09,0.65,37.5,nominal
TEL-30040-pickup,FL-US-30039,ZIP-US-001,2025-04-01T10:03:00,pickup,100,29.8,17.0,0.75,0.89,36.6,nominal
TEL-30040-outbound,FL-US-30039,ZIP-US-001,2025-04-01T10:07:12,outbound,84.7,28.9,14.1,0.93,0.92,36.9,nominal
TEL-30040-recovery,FL-US-30039,ZIP-US-001,2025-04-01T10:10:58,recovery,70.9,30.9,25.2,1.05,0.76,38.0,nominal
TEL-30041-pickup,FL-US-30040,ZIP-US-008,2025-04-01T09:49:00,pickup,100,28.9,23.2,0.93,0.61,35.4,nominal
TEL-30041-outbound,FL-US-30040,ZIP-US-008,2025-04-01T09:53:27,outbound,87.7,28.7,22.8,1.03,0.62,38.6,nominal
TEL-30041-recovery,FL-US-30040,ZIP-US-008,2025-04-01T09:57:27,recovery,76.6,30.6,17.8,0.99,0.66,38.7,nominal
TEL-30042-pickup,FL-US-30041,ZIP-US-010,2025-04-01T11:03:00,pickup,100,30.4,25.3,0.9,0.79,37.4,nominal
TEL-30042-outbound,FL-US-30041,ZIP-US-010,2025-04-01T11:08:06,outbound,80.1,31.0,21.4,0.9,0.64,37.5,nominal
TEL-30042-recovery,FL-US-30041,ZIP-US-010,2025-04-01T11:12:41,recovery,62.2,31.1,25.9,0.88,0.99,36.2,nominal
TEL-30043-pickup,FL-US-30042,ZIP-US-015,2025-04-01T15:12:00,pickup,100,30.9,20.6,1.08,0.99,37.3,nominal
TEL-30043-outbound,FL-US-30042,ZIP-US-015,2025-04-01T15:18:03,outbound,78.8,31.0,26.1,0.73,0.7,37.4,nominal
TEL-30043-recovery,FL-US-30042,ZIP-US-015,2025-04-01T15:23:29,recovery,59.6,30.6,22.4,0.97,0.91,37.4,nominal
TEL-30044-pickup,FL-US-30043,ZIP-US-010,2025-04-01T17:02:00,pickup,100,31.5,16.1,1.08,0.6,37.7,nominal
TEL-30044-outbound,FL-US-30043,ZIP-US-010,2025-04-01T17:07:48,outbound,80.2,31.4,17.5,1.02,0.78,37.3,nominal
TEL-30044-recovery,FL-US-30043,ZIP-US-010,2025-04-01T17:13:01,recovery,62.4,31.4,20.0,1.12,0.87,38.2,nominal
TEL-30045-pickup,FL-US-30044,ZIP-US-016,2025-04-01T18:36:00,pickup,100,32.1,14.8,1.04,0.51,37.1,nominal
TEL-30045-outbound,FL-US-30044,ZIP-US-016,2025-04-01T18:42:15,outbound,73.9,31.9,18.2,1.27,0.54,36.0,nominal
TEL-30045-recovery,FL-US-30044,ZIP-US-016,2025-04-01T18:47:52,recovery,50.4,34.6,24.5,0.92,0.68,37.1,nominal
TEL-30046-pickup,FL-US-30045,ZIP-US-012,2025-04-01T18:48:00,pickup,100,32.1,12.5,0.97,0.63,36.9,nominal
TEL-30046-outbound,FL-US-30045,ZIP-US-012,2025-04-01T18:53:15,outbound,78.2,30.8,16.9,1.0,0.76,37.8,nominal
TEL-30046-recovery,FL-US-30045,ZIP-US-012,2025-04-01T18:57:58,recovery,58.5,30.8,16.6,1.4,0.57,37.3,nominal
TEL-30047-pickup,FL-US-30046,ZIP-US-015,2025-04-01T12:53:00,pickup,100,31.0,14.3,0.8,0.99,38.2,nominal
TEL-30047-outbound,FL-US-30046,ZIP-US-015,2025-04-01T12:56:57,outbound,84.1,30.0,19.7,1.11,0.52,37.1,nominal
TEL-30047-recovery,FL-US-30046,ZIP-US-015,2025-04-01T13:00:30,recovery,69.8,31.2,18.6,1.09,0.85,38.2,nominal
TEL-30048-pickup,FL-US-30047,ZIP-US-014,2025-04-01T11:43:00,pickup,100,31.3,17.2,0.94,0.95,37.8,nominal
TEL-30048-outbound,FL-US-30047,ZIP-US-014,2025-04-01T11:48:12,outbound,81.3,30.1,16.9,1.11,0.73,36.9,nominal
TEL-30048-recovery,FL-US-30047,ZIP-US-014,2025-04-01T11:52:52,recovery,64.6,32.5,18.0,1.22,0.69,36.8,nominal
TEL-30049-pickup,FL-US-30048,ZIP-US-015,2025-04-01T20:07:00,pickup,100,31.2,20.0,1.18,1.07,36.4,nominal
TEL-30049-outbound,FL-US-30048,ZIP-US-015,2025-04-01T20:12:18,outbound,79.9,30.4,24.2,1.04,0.69,35.5,nominal
TEL-30049-recovery,FL-US-30048,ZIP-US-015,2025-04-01T20:17:04,recovery,61.8,31.7,23.4,0.87,0.77,36.4,nominal
TEL-30050-pickup,FL-US-30049,ZIP-US-009,2025-04-01T15:48:00,pickup,100,31.0,26.0,0.92,0.56,36.1,nominal
TEL-30050-outbound,FL-US-30049,ZIP-US-009,2025-04-01T15:51:51,outbound,83.3,32.1,24.8,0.82,1.01,36.7,nominal
TEL-30050-recovery,FL-US-30049,ZIP-US-009,2025-04-01T15:55:18,recovery,68.2,30.8,19.4,1.15,1.06,36.0,nominal
TEL-30051-pickup,FL-US-30050,ZIP-US-011,2025-04-01T09:47:00,pickup,100,31.4,14.3,1.05,0.92,36.8,nominal
TEL-30051-outbound,FL-US-30050,ZIP-US-011,2025-04-01T09:51:27,outbound,87.2,26.0,19.5,0.92,0.76,36.9,nominal
TEL-30051-recovery,FL-US-30050,ZIP-US-011,2025-04-01T09:55:27,recovery,75.7,27.6,22.4,0.89,0.63,35.4,nominal
TEL-30052-pickup,FL-US-30051,ZIP-US-011,2025-04-01T11:17:00,pickup,100,32.2,21.3,1.06,0.81,36.6,nominal
TEL-30052-outbound,FL-US-30051,ZIP-US-011,2025-04-01T11:21:57,outbound,79.9,29.9,19.6,0.99,0.78,38.1,nominal
TEL-30052-recovery,FL-US-30051,ZIP-US-011,2025-04-01T11:26:24,recovery,61.7,30.6,15.5,1.21,0.92,37.8,nominal
TEL-30053-pickup,FL-US-30052,ZIP-US-015,2025-04-01T15:30:00,pickup,100,30.2,22.5,0.95,0.73,36.6,nominal
TEL-30053-outbound,FL-US-30052,ZIP-US-015,2025-04-01T15:34:12,outbound,85.1,31.8,12.1,1.2,0.74,36.9,nominal
TEL-30053-recovery,FL-US-30052,ZIP-US-015,2025-04-01T15:37:58,recovery,71.8,30.4,20.1,0.88,0.76,36.5,nominal
TEL-30054-pickup,FL-US-30053,ZIP-US-016,2025-04-01T09:55:00,pickup,100,30.3,22.1,1.25,1.1,36.3,nominal
TEL-30054-outbound,FL-US-30053,ZIP-US-016,2025-04-01T10:01:21,outbound,74.9,31.8,16.9,1.35,0.78,35.9,nominal
TEL-30054-recovery,FL-US-30053,ZIP-US-016,2025-04-01T10:07:03,recovery,52.3,30.7,22.8,1.01,0.94,38.2,nominal
TEL-30055-pickup,FL-US-30054,ZIP-US-009,2025-04-01T15:17:00,pickup,100,30.4,24.0,0.87,1.06,37.5,nominal
TEL-30055-outbound,FL-US-30054,ZIP-US-009,2025-04-01T15:21:24,outbound,86.0,30.7,27.3,0.94,0.87,35.0,nominal
TEL-30055-recovery,FL-US-30054,ZIP-US-009,2025-04-01T15:25:21,recovery,73.5,30.4,21.3,1.01,0.83,37.2,nominal
TEL-30056-pickup,FL-US-30055,ZIP-US-014,2025-04-01T19:59:00,pickup,100,30.5,14.8,0.99,0.8,37.0,nominal
TEL-30056-outbound,FL-US-30055,ZIP-US-014,2025-04-01T20:04:51,outbound,81.1,31.1,15.0,0.9,1.14,36.6,nominal
TEL-30056-recovery,FL-US-30055,ZIP-US-014,2025-04-01T20:10:06,recovery,64.1,31.5,18.1,0.9,0.79,35.3,nominal
TEL-30057-pickup,FL-US-30056,ZIP-US-016,2025-04-01T13:28:00,pickup,100,28.0,18.3,0.94,0.99,36.8,nominal
TEL-30057-outbound,FL-US-30056,ZIP-US-016,2025-04-01T13:32:36,outbound,87.9,29.1,18.2,1.29,0.77,36.1,nominal
TEL-30057-recovery,FL-US-30056,ZIP-US-016,2025-04-01T13:36:44,recovery,77.0,27.6,22.3,1.12,0.5,37.1,nominal
TEL-30058-pickup,FL-US-30057,ZIP-US-009,2025-04-01T19:57:00,pickup,100,30.8,22.9,0.86,0.9,39.3,nominal
TEL-30058-outbound,FL-US-30057,ZIP-US-009,2025-04-01T20:03:27,outbound,76.9,30.4,25.1,1.15,0.64,37.9,nominal
TEL-30058-recovery,FL-US-30057,ZIP-US-009,2025-04-01T20:09:15,recovery,56.0,32.8,8.2,1.01,0.83,34.4,nominal
TEL-30059-pickup,FL-US-30058,ZIP-US-012,2025-04-01T13:23:00,pickup,100,28.6,24.6,0.63,0.99,37.3,nominal
TEL-30059-outbound,FL-US-30058,ZIP-US-012,2025-04-01T13:27:06,outbound,86.7,28.7,22.7,1.03,1.18,36.3,nominal
TEL-30059-recovery,FL-US-30058,ZIP-US-012,2025-04-01T13:30:47,recovery,74.7,28.2,22.8,1.13,0.91,36.4,nominal
TEL-30060-pickup,FL-US-30059,ZIP-US-015,2025-04-01T15:06:00,pickup,100,31.1,21.3,1.14,0.69,38.1,nominal
TEL-30060-outbound,FL-US-30059,ZIP-US-015,2025-04-01T15:12:42,outbound,76.6,32.0,16.9,1.31,0.71,38.3,nominal
TEL-30060-recovery,FL-US-30059,ZIP-US-015,2025-04-01T15:18:43,recovery,55.5,31.1,21.1,1.15,0.97,36.7,nominal
TEL-30061-pickup,FL-US-30060,ZIP-US-013,2025-04-01T09:20:00,pickup,100,31.9,12.9,1.22,0.55,37.2,nominal
TEL-30061-outbound,FL-US-30060,ZIP-US-013,2025-04-01T09:25:15,outbound,84.7,30.7,20.4,1.21,0.5,37.0,nominal
TEL-30061-recovery,FL-US-30060,ZIP-US-013,2025-04-01T09:29:58,recovery,70.9,31.1,26.0,1.03,0.69,37.3,nominal
TEL-30062-pickup,FL-US-30061,ZIP-US-009,2025-04-01T12:57:00,pickup,100,29.9,23.3,0.91,0.7,37.5,nominal
TEL-30062-outbound,FL-US-30061,ZIP-US-009,2025-04-01T13:00:48,outbound,88.1,28.8,23.9,1.34,1.0,36.9,nominal
TEL-30062-recovery,FL-US-30061,ZIP-US-009,2025-04-01T13:04:13,recovery,77.5,29.4,24.6,0.86,1.01,35.1,nominal
TEL-30063-pickup,FL-US-30062,ZIP-US-015,2025-04-01T10:09:00,pickup,100,33.2,17.1,0.99,0.7,38.5,nominal
TEL-30063-outbound,FL-US-30062,ZIP-US-015,2025-04-01T10:16:36,outbound,72.6,31.6,17.5,0.9,0.86,37.2,nominal
TEL-30063-recovery,FL-US-30062,ZIP-US-015,2025-04-01T10:23:26,recovery,48.0,32.1,23.0,1.05,0.65,37.1,nominal
TEL-30064-pickup,FL-US-30063,ZIP-US-016,2025-04-01T12:19:00,pickup,100,30.6,21.5,1.02,0.67,37.9,nominal
TEL-30064-outbound,FL-US-30063,ZIP-US-016,2025-04-01T12:23:42,outbound,86.4,28.8,18.9,0.96,0.69,35.4,nominal
