snapshot_date,drone_id,home_site,battery_capacity_pct,battery_cycle_count,cell_voltage_spread_mv,motor_vibration_mm_s,tether_descent_baseline_sec,maintenance_status
2025-04-02,ZIP-US-010,Central_Fulfillment,96.2,161,26.6,1.21,37.5,operational
2025-04-02,ZIP-US-011,Central_Fulfillment,96.2,164,8.6,0.84,36.4,operational
2025-04-02,ZIP-US-012,Central_Fulfillment,95.8,167,22.7,1.2,37.0,operational
2025-04-02,ZIP-US-013,Central_Fulfillment,96.2,170,21.9,0.81,37.4,operational
2025-04-02,ZIP-US-014,Central_Fulfillment,96.4,173,20.8,1.15,36.4,operational
2025-04-02,ZIP-US-015,Central_Fulfillment,95.7,176,21.1,1.04,37.1,operational
2025-04-02,ZIP-US-016,Central_Fulfillment,95.9,179,19.7,1.17,38.6,operational
2025-04-02,ZIP-US-017,Eastside_Fulfillment,96.1,182,18.3,0.86,37.2,operational
2025-04-02,ZIP-US-018,Eastside_Fulfillment,96.4,185,24.7,0.91,38.0,operational
2025-04-02,ZIP-US-019,Eastside_Fulfillment,95.9,188,17.9,1.27,36.7,operational
2025-04-02,ZIP-US-020,Eastside_Fulfillment,95.3,191,20.2,1.06,37.8,operational
2025-04-02,ZIP-US-021,Eastside_Fulfillment,95.9,194,23.6,0.92,36.2,operational
2025-04-02,ZIP-US-022,Eastside_Fulfillment,95.4,197,21.3,0.91,37.0,operational
2025-04-02,ZIP-US-023,Eastside_Fulfillment,96.2,200,21.0,1.06,36.5,operational
2025-04-02,ZIP-US-024,Eastside_Fulfillment,95.8,203,19.2,1.3,35.3,operational
2025-04-03,ZIP-US-001,Northside_Fulfillment,95.6,136,22.9,0.9,37.1,operational
2025-04-03,ZIP-US-002,Northside_Fulfillment,96.6,139,19.6,1.07,36.5,operational
2025-04-03,ZIP-US-003,Northside_Fulfillment,95.9,142,28.2,0.9,36.0,operational
2025-04-03,ZIP-US-004,Northside_Fulfillment,96.0,145,20.7,0.89,38.3,operational
2025-04-03,ZIP-US-005,Northside_Fulfillment,96.3,148,23.9,0.88,38.2,operational
2025-04-03,ZIP-US-006,Northside_Fulfillment,96.2,151,21.2,0.66,36.5,operational
2025-04-03,ZIP-US-007,Northside_Fulfillment,95.6,154,17.1,0.86,37.9,operational
2025-04-03,ZIP-US-008,Northside_Fulfillment,96.0,157,23.4,1.05,38.9,operational
2025-04-03,ZIP-US-009,Central_Fulfillment,95.8,160,20.2,1.25,35.7,operational
2025-04-03,ZIP-US-010,Central_Fulfillment,96.1,163,24.4,0.81,37.7,operational
2025-04-03,ZIP-US-011,Central_Fulfillment,95.7,166,20.2,0.92,38.2,operational
2025-04-03,ZIP-US-012,Central_Fulfillment,95.7,169,15.5,1.06,34.7,operational
2025-04-03,ZIP-US-013,Central_Fulfillment,95.8,172,14.2,1.09,37.3,operational
2025-04-03,ZIP-US-014,Central_Fulfillment,95.7,175,21.8,0.99,36.9,operational
2025-04-03,ZIP-US-015,Central_Fulfillment,95.2,178,11.2,0.79,37.4,operational
2025-04-03,ZIP-US-016,Central_Fulfillment,95.7,181,18.6,0.94,36.8,operational
2025-04-03,ZIP-US-017,Eastside_Fulfillment,95.8,184,15.7,0.97,35.9,operational
2025-04-03,ZIP-US-018,Eastside_Fulfillment,96.0,187,14.6,0.77,35.6,operational
2025-04-03,ZIP-US-019,Eastside_Fulfillment,95.6,190,23.0,0.97,37.6,operational
2025-04-03,ZIP-US-020,Eastside_Fulfillment,95.5,193,28.5,0.81,36.7,operational
2025-04-03,ZIP-US-021,Eastside_Fulfillment,95.3,196,21.8,1.08,36.4,operational
2025-04-03,ZIP-US-022,Eastside_Fulfillment,95.9,199,22.1,1.11,36.2,operational
2025-04-03,ZIP-US-023,Eastside_Fulfillment,95.4,202,24.7,1.14,37.3,operational
2025-04-03,ZIP-US-024,Eastside_Fulfillment,95.8,205,13.9,0.92,38.1,operational
2025-04-04,ZIP-US-001,Northside_Fulfillment,95.7,137,14.4,0.84,36.6,operational
2025-04-04,ZIP-US-002,Northside_Fulfillment,96.0,140,18.4,0.95,36.9,operational
2025-04-04,ZIP-US-003,Northside_Fulfillment,95.7,143,18.8,1.17,38.0,operational
2025-04-04,ZIP-US-004,Northside_Fulfillment,95.7,146,22.4,0.87,37.8,operational
2025-04-04,ZIP-US-005,Northside_Fulfillment,96.3,149,27.8,1.18,37.6,operational
2025-04-04,ZIP-US-006,Northside_Fulfillment,95.9,152,21.4,1.05,37.9,operational
2025-04-04,ZIP-US-007,Northside_Fulfillment,95.1,155,24.9,0.98,36.0,operational
2025-04-04,ZIP-US-008,Northside_Fulfillment,95.8,158,23.4,1.04,37.2,operational
2025-04-04,ZIP-US-009,Central_Fulfillment,96.3,161,21.2,0.86,37.8,operational
2025-04-04,ZIP-US-010,Central_Fulfillment,96.0,164,19.3,0.97,37.5,operational
2025-04-04,ZIP-US-011,Central_Fulfillment,96.5,167,21.7,1.0,36.4,operational
2025-04-04,ZIP-US-012,Central_Fulfillment,96.5,170,19.1,1.05,38.9,operational
2025-04-04,ZIP-US-013,Central_Fulfillment,95.7,173,22.9,0.86,35.4,operational
2025-04-04,ZIP-US-014,Central_Fulfillment,96.3,176,18.5,0.88,38.4,operational
2025-04-04,ZIP-US-015,Central_Fulfillment,95.7,179,16.4,1.06,39.7,operational
2025-04-04,ZIP-US-016,Central_Fulfillment,96.3,182,21.8,1.1,36.0,operational
2025-04-04,ZIP-US-017,Eastside_Fulfillment,96.3,185,17.8,1.1,35.8,operational
2025-04-04,ZIP-US-018,Eastside_Fulfillment,95.6,188,24.2,0.93,38.5,operational
2025-04-04,ZIP-US-019,Eastside_Fulfillment,95.6,191,14.9,0.76,38.3,operational
2025-04-04,ZIP-US-020,Eastside_Fulfillment,96.1,194,20.3,0.78,35.7,operational
2025-04-04,ZIP-US-021,Eastside_Fulfillment,95.9,197,21.2,1.17,36.9,operational
2025-04-04,ZIP-US-022,Eastside_Fulfillment,96.1,200,13.4,0.91,37.2,operational
2025-04-04,ZIP-US-023,Eastside_Fulfillment,96.1,203,21.2,0.92,36.0,operational
2025-04-04,ZIP-US-024,Eastside_Fulfillment,96.3,206,23.8,1.12,37.3,operational
2025-04-05,ZIP-US-001,Northside_Fulfillment,95.6,139,18.4,0.9,37.3,operational
2025-04-05,ZIP-US-002,Northside_Fulfillment,95.1,142,17.0,0.9,36.9,operational
2025-04-05,ZIP-US-003,Northside_Fulfillment,96.4,145,21.5,1.16,37.0,operational
2025-04-05,ZIP-US-004,Northside_Fulfillment,95.9,148,30.0,1.03,37.5,operational
2025-04-05,ZIP-US-005,Northside_Fulfillment,95.7,151,21.8,1.05,38.3,operational
2025-04-05,ZIP-US-006,Northside_Fulfillment,95.8,154,19.9,1.07,38.5,operational
2025-04-05,ZIP-US-007,Northside_Fulfillment,96.9,157,21.6,1.33,38.6,operational
2025-04-05,ZIP-US-008,Northside_Fulfillment,95.9,160,20.8,1.11,37.2,operational
2025-04-05,ZIP-US-009,Central_Fulfillment,95.3,163,15.1,0.79,36.0,operational
2025-04-05,ZIP-US-010,Central_Fulfillment,96.1,166,24.3,1.14,36.7,operational
2025-04-05,ZIP-US-011,Central_Fulfillment,95.6,169,22.1,0.94,36.8,operational
2025-04-05,ZIP-US-012,Central_Fulfillment,95.9,172,14.4,0.9,37.7,operational
2025-04-05,ZIP-US-013,Central_Fulfillment,95.4,175,23.5,1.22,36.9,operational
2025-04-05,ZIP-US-014,Central_Fulfillment,95.0,178,18.0,0.97,36.8,operational
2025-04-05,ZIP-US-015,Central_Fulfillment,95.6,181,18.4,1.18,37.6,operational
2025-04-05,ZIP-US-016,Central_Fulfillment,95.4,184,17.4,1.1,37.9,operational
2025-04-05,ZIP-US-017,Eastside_Fulfillment,96.2,187,19.9,0.81,36.7,operational
2025-04-05,ZIP-US-018,Eastside_Fulfillment,95.5,190,14.1,0.91,37.3,operational
2025-04-05,ZIP-US-019,Eastside_Fulfillment,96.2,193,19.1,1.15,37.6,operational
2025-04-05,ZIP-US-020,Eastside_Fulfillment,94.6,196,19.5,1.02,35.8,operational
2025-04-05,ZIP-US-021,Eastside_Fulfillment,96.4,199,21.4,0.78,37.2,operational
2025-04-05,ZIP-US-022,Eastside_Fulfillment,95.7,202,28.3,0.93,35.9,operational
2025-04-05,ZIP-US-023,Eastside_Fulfillment,95.4,205,13.7,0.91,37.5,operational
2025-04-05,ZIP-US-024,Eastside_Fulfillment,96.3,208,18.0,1.27,36.3,operational
2025-04-06,ZIP-US-001,Northside_Fulfillment,95.2,140,23.8,1.15,38.1,operational
2025-04-06,ZIP-US-002,Northside_Fulfillment,96.0,143,20.8,1.1,38.5,operational
2025-04-06,ZIP-US-003,Northside_Fulfillment,95.9,146,23.0,0.79,36.8,operational
2025-04-06,ZIP-US-004,Northside_Fulfillment,96.1,149,16.5,0.9,37.1,operational
2025-04-06,ZIP-US-005,Northside_Fulfillment,96.5,152,20.3,1.3,36.3,operational
2025-04-06,ZIP-US-006,Northside_Fulfillment,96.5,155,21.6,1.09,37.5,operational
2025-04-06,ZIP-US-007,Northside_Fulfillment,95.7,158,24.9,1.04,34.6,operational
2025-04-06,ZIP-US-008,Northside_Fulfillment,96.3,161,16.7,0.94,37.0,operational
2025-04-06,ZIP-US-009,Central_Fulfillment,95.3,164,27.1,1.34,37.6,operational
2025-04-06,ZIP-US-010,Central_Fulfillment,95.6,167,17.7,0.94,36.4,operational
2025-04-06,ZIP-US-011,Central_Fulfillment,95.8,170,22.3,0.88,37.9,operational
2025-04-06,ZIP-US-012,Central_Fulfillment,95.8,173,24.7,0.89,36.2,operational
2025-04-06,ZIP-US-013,Central_Fulfillment,95.8,176,22.8,0.82,37.0,operational
2025-04-06,ZIP-US-014,Central_Fulfillment,95.6,179,23.8,0.9,38.2,operational
2025-04-06,ZIP-US-015,Central_Fulfillment,95.3,182,27.0,0.78,36.7,operational
2025-04-06,ZIP-US-016,Central_Fulfillment,95.6,185,24.4,0.95,37.4,operational
2025-04-06,ZIP-US-017,Eastside_Fulfillment,95.9,188,26.1,0.75,35.9,operational
2025-04-06,ZIP-US-018,Eastside_Fulfillment,96.0,191,14.5,0.82,37.8,operational
2025-04-06,ZIP-US-019,Eastside_Fulfillment,96.0,194,24.7,1.05,37.0,operational
2025-04-06,ZIP-US-020,Eastside_Fulfillment,96.4,197,12.0,0.82,34.9,operational
2025-04-06,ZIP-US-021,Eastside_Fulfillment,96.3,200,28.2,0.75,36.0,operational
2025-04-06,ZIP-US-022,Eastside_Fulfillment,95.0,203,18.6,0.82,37.9,operational
2025-04-06,ZIP-US-023,Eastside_Fulfillment,96.0,206,18.2,0.77,36.3,operational
2025-04-06,ZIP-US-024,Eastside_Fulfillment,96.3,209,24.7,0.89,37.2,operational
2025-04-07,ZIP-US-001,Northside_Fulfillment,96.2,142,16.8,1.0,37.3,operational
2025-04-07,ZIP-US-002,Northside_Fulfillment,95.6,145,16.1,1.04,36.4,operational
2025-04-07,ZIP-US-003,Northside_Fulfillment,95.8,148,23.4,0.8,36.2,operational
2025-04-07,ZIP-US-004,Northside_Fulfillment,95.6,151,19.3,0.54,38.0,operational
2025-04-07,ZIP-US-005,Northside_Fulfillment,95.7,154,23.1,0.67,36.2,operational
2025-04-07,ZIP-US-006,Northside_Fulfillment,95.4,157,22.3,1.16,37.3,operational
2025-04-07,ZIP-US-007,Northside_Fulfillment,96.3,160,16.5,0.99,36.5,operational
2025-04-07,ZIP-US-008,Northside_Fulfillment,96.0,163,21.2,0.91,37.7,operational
2025-04-07,ZIP-US-009,Central_Fulfillment,95.4,166,14.0,0.77,37.3,operational
2025-04-07,ZIP-US-010,Central_Fulfillment,95.8,169,21.4,1.2,36.7,operational
2025-04-07,ZIP-US-011,Central_Fulfillment,96.1,172,17.3,0.92,38.7,operational
2025-04-07,ZIP-US-012,Central_Fulfillment,95.8,175,17.5,0.98,37.4,operational
2025-04-07,ZIP-US-013,Central_Fulfillment,95.9,178,15.3,0.81,37.7,operational
2025-04-07,ZIP-US-014,Central_Fulfillment,96.2,181,22.7,0.93,34.0,operational
2025-04-07,ZIP-US-015,Central_Fulfillment,96.5,184,15.2,1.12,37.0,operational
2025-04-07,ZIP-US-016,Central_Fulfillment,95.7,187,18.7,0.87,37.5,operational
2025-04-07,ZIP-US-017,Eastside_Fulfillment,95.9,190,17.1,0.86,38.6,operational
2025-04-07,ZIP-US-018,Eastside_Fulfillment,96.2,193,21.0,0.98,36.9,operational
2025-04-07,ZIP-US-019,Eastside_Fulfillment,95.8,196,18.4,0.89,36.3,operational
2025-04-07,ZIP-US-020,Eastside_Fulfillment,95.9,199,15.7,0.98,35.6,operational
2025-04-07,ZIP-US-021,Eastside_Fulfillment,95.3,202,26.7,1.22,38.2,operational
2025-04-07,ZIP-US-022,Eastside_Fulfillment,95.2,205,19.7,1.31,36.2,operational
2025-04-07,ZIP-US-023,Eastside_Fulfillment,95.3,208,24.1,1.03,36.6,operational
2025-04-07,ZIP-US-024,Eastside_Fulfillment,96.4,211,25.2,1.0,38.2,operational
2025-04-08,ZIP-US-001,Northside_Fulfillment,95.7,143,19.7,0.91,37.0,operational
2025-04-08,ZIP-US-002,Northside_Fulfillment,96.1,146,23.2,0.93,37.3,operational
2025-04-08,ZIP-US-003,Northside_Fulfillment,95.6,149,22.1,0.83,35.9,operational
2025-04-08,ZIP-US-004,Northside_Fulfillment,95.5,152,15.3,1.05,38.0,operational
2025-04-08,ZIP-US-005,Northside_Fulfillment,96.0,155,17.3,1.01,38.6,operational
2025-04-08,ZIP-US-006,Northside_Fulfillment,95.4,158,20.6,1.13,37.3,operational
2025-04-08,ZIP-US-007,Northside_Fulfillment,96.1,161,16.9,1.08,37.4,operational
2025-04-08,ZIP-US-008,Northside_Fulfillment,95.8,164,19.1,0.94,38.9,operational
2025-04-08,ZIP-US-009,Central_Fulfillment,95.5,167,12.1,1.09,38.0,operational
2025-04-08,ZIP-US-010,Central_Fulfillment,95.9,170,19.9,1.1,37.4,operational
2025-04-08,ZIP-US-011,Central_Fulfillment,96.2,173,20.9,1.14,37.3,operational
2025-04-08,ZIP-US-012,Central_Fulfillment,95.9,176,23.1,0.95,35.8,operational
2025-04-08,ZIP-US-013,Central_Fulfillment,95.9,179,14.5,1.04,38.8,operational
2025-04-08,ZIP-US-014,Central_Fulfillment,95.7,182,32.4,1.08,37.1,operational
2025-04-08,ZIP-US-015,Central_Fulfillment,96.4,185,17.3,0.98,37.5,operational
2025-04-08,ZIP-US-016,Central_Fulfillment,95.3,188,23.1,1.32,37.1,operational
2025-04-08,ZIP-US-017,Eastside_Fulfillment,96.2,191,15.6,0.57,37.5,operational
2025-04-08,ZIP-US-018,Eastside_Fulfillment,95.9,194,19.4,1.02,35.9,operational
2025-04-08,ZIP-US-019,Eastside_Fulfillment,96.0,197,18.8,0.97,37.4,operational
2025-04-08,ZIP-US-020,Eastside_Fulfillment,95.8,200,19.5,0.7,36.2,operational
2025-04-08,ZIP-US-021,Eastside_Fulfillment,95.9,203,24.6,1.19,37.5,operational
2025-04-08,ZIP-US-022,Eastside_Fulfillment,96.2,206,19.5,0.69,36.8,operational
2025-04-08,ZIP-US-023,Eastside_Fulfillment,96.0,209,15.3,1.18,37.3,operational
2025-04-08,ZIP-US-024,Eastside_Fulfillment,95.9,212,11.9,0.86,38.0,operational
2025-04-09,ZIP-US-001,Northside_Fulfillment,95.9,145,21.7,0.85,35.3,operational
2025-04-09,ZIP-US-002,Northside_Fulfillment,96.0,148,15.1,0.9,35.5,operational
2025-04-09,ZIP-US-003,Northside_Fulfillment,95.4,151,16.6,0.7,37.5,operational
2025-04-09,ZIP-US-004,Northside_Fulfillment,95.6,154,19.8,0.82,36.2,operational
2025-04-09,ZIP-US-005,Northside_Fulfillment,96.1,157,26.7,1.19,38.3,operational
2025-04-09,ZIP-US-006,Northside_Fulfillment,95.5,160,20.2,0.82,38.4,operational
2025-04-09,ZIP-US-007,Northside_Fulfillment,96.2,163,18.5,0.68,36.6,operational
2025-04-09,ZIP-US-008,Northside_Fulfillment,95.8,166,17.3,1.04,37.2,operational
2025-04-09,ZIP-US-009,Central_Fulfillment,96.3,169,21.4,1.17,36.2,operational
2025-04-09,ZIP-US-010,Central_Fulfillment,96.0,172,18.0,1.07,36.8,operational
2025-04-09,ZIP-US-011,Central_Fulfillment,95.3,175,17.9,0.9,38.1,operational
2025-04-09,ZIP-US-012,Central_Fulfillment,96.4,178,21.4,1.11,34.6,operational
2025-04-09,ZIP-US-013,Central_Fulfillment,96.1,181,18.3,0.88,37.6,operational
2025-04-09,ZIP-US-014,Central_Fulfillment,96.0,184,21.3,1.02,37.0,operational
2025-04-09,ZIP-US-015,Central_Fulfillment,95.6,187,18.8,0.84,37.9,operational
2025-04-09,ZIP-US-016,Central_Fulfillment,95.6,190,24.1,1.07,38.4,operational
2025-04-09,ZIP-US-017,Eastside_Fulfillment,95.8,193,20.1,1.06,35.2,operational
2025-04-09,ZIP-US-018,Eastside_Fulfillment,95.5,196,21.9,1.09,35.2,operational
2025-04-09,ZIP-US-019,Eastside_Fulfillment,96.1,199,21.0,1.25,36.8,operational
2025-04-09,ZIP-US-020,Eastside_Fulfillment,95.4,202,21.3,1.06,36.9,operational
2025-04-09,ZIP-US-021,Eastside_Fulfillment,95.8,205,18.6,1.14,38.9,operational
2025-04-09,ZIP-US-022,Eastside_Fulfillment,95.4,208,25.2,1.04,36.6,operational
2025-04-09,ZIP-US-023,Eastside_Fulfillment,95.4,211,23.2,0.84,36.1,operational
2025-04-09,ZIP-US-024,Eastside_Fulfillment,95.9,214,15.6,0.98,37.9,operational
2025-04-10,ZIP-US-001,Northside_Fulfillment,95.1,146,22.4,1.19,35.5,operational
2025-04-10,ZIP-US-002,Northside_Fulfillment,96.3,149,23.9,1.18,36.8,operational
2025-04-10,ZIP-US-003,Northside_Fulfillment,96.1,152,23.6,0.93,39.0,operational
2025-04-10,ZIP-US-004,Northside_Fulfillment,96.6,155,17.4,0.91,38.4,operational
2025-04-10,ZIP-US-005,Northside_Fulfillment,95.6,158,21.0,0.99,36.1,operational
2025-04-10,ZIP-US-006,Northside_Fulfillment,95.9,161,17.0,1.14,38.3,operational
2025-04-10,ZIP-US-007,Northside_Fulfillment,95.7,164,17.9,0.91,38.0,operational
2025-04-10,ZIP-US-008,Northside_Fulfillment,95.9,167,14.4,1.09,36.8,operational
2025-04-10,ZIP-US-009,Central_Fulfillment,95.4,170,12.7,1.16,35.6,operational
2025-04-10,ZIP-US-010,Central_Fulfillment,96.3,173,18.4,1.18,36.7,operational
2025-04-10,ZIP-US-011,Central_Fulfillment,95.6,176,25.2,1.01,37.9,operational
2025-04-10,ZIP-US-012,Central_Fulfillment,96.1,179,19.1,1.04,37.1,operational
2025-04-10,ZIP-US-013,Central_Fulfillment,95.5,182,17.9,0.76,36.7,operational
2025-04-10,ZIP-US-014,Central_Fulfillment,96.3,185,17.5,1.19,36.1,operational
2025-04-10,ZIP-US-015,Central_Fulfillment,95.7,188,16.6,0.76,38.4,operational
2025-04-10,ZIP-US-016,Central_Fulfillment,96.0,191,19.6,0.76,37.3,operational
2025-04-10,ZIP-US-017,Eastside_Fulfillment,95.5,194,22.0,0.83,36.2,operational
2025-04-10,ZIP-US-018,Eastside_Fulfillment,95.2,197,25.6,0.97,38.2,operational
2025-04-10,ZIP-US-019,Eastside_Fulfillment,95.3,200,23.9,0.85,35.3,operational
2025-04-10,ZIP-US-020,Eastside_Fulfillment,95.4,203,16.9,1.04,36.2,operational
2025-04-10,ZIP-US-021,Eastside_Fulfillment,95.7,206,22.6,1.06,38.4,operational
2025-04-10,ZIP-US-022,Eastside_Fulfillment,95.5,209,16.9,0.99,36.9,operational
2025-04-10,ZIP-US-023,Eastside_Fulfillment,95.6,212,23.2,0.97,36.2,operational
2025-04-10,ZIP-US-024,Eastside_Fulfillment,95.9,215,21.3,1.12,37.7,operational
2025-04-11,ZIP-US-001,Northside_Fulfillment,95.4,148,17.4,0.87,38.2,operational
2025-04-11,ZIP-US-002,Northside_Fulfillment,95.7,151,21.8,0.9,36.7,operational
2025-04-11,ZIP-US-003,Northside_Fulfillment,95.7,154,19.8,1.16,35.6,operational
2025-04-11,ZIP-US-004,Northside_Fulfillment,95.9,157,23.5,1.07,36.7,operational
2025-04-11,ZIP-US-005,Northside_Fulfillment,96.1,160,17.0,0.84,37.9,operational
2025-04-11,ZIP-US-006,Northside_Fulfillment,96.3,163,11.5,0.8,36.7,operational
2025-04-11,ZIP-US-007,Northside_Fulfillment,95.7,166,19.4,1.08,37.4,operational
2025-04-11,ZIP-US-008,Northside_Fulfillment,95.2,169,22.7,1.04,37.5,operational
2025-04-11,ZIP-US-009,Central_Fulfillment,96.3,172,15.1,0.82,37.9,operational
2025-04-11,ZIP-US-010,Central_Fulfillment,95.8,175,29.2,1.19,37.3,operational
2025-04-11,ZIP-US-011,Central_Fulfillment,96.0,178,19.2,0.99,39.3,operational
2025-04-11,ZIP-US-012,Central_Fulfillment,95.9,181,26.5,0.75,38.2,operational
2025-04-11,ZIP-US-013,Central_Fulfillment,96.1,184,22.4,1.07,36.9,operational
2025-04-11,ZIP-US-014,Central_Fulfillment,95.6,187,15.4,1.26,37.6,operational
2025-04-11,ZIP-US-015,Central_Fulfillment,95.8,190,18.3,1.01,37.4,operational
2025-04-11,ZIP-US-016,Central_Fulfillment,95.5,193,14.3,1.2,38.7,operational
2025-04-11,ZIP-US-017,Eastside_Fulfillment,95.2,196,24.5,1.01,37.5,operational
2025-04-11,ZIP-US-018,Eastside_Fulfillment,95.7,199,22.9,0.99,35.5,operational
2025-04-11,ZIP-US-019,Eastside_Fulfillment,95.9,202,20.6,0.96,39.3,operational
2025-04-11,ZIP-US-020,Eastside_Fulfillment,96.0,205,24.8,0.94,37.5,operational
2025-04-11,ZIP-US-021,Eastside_Fulfillment,95.5,208,19.4,1.13,36.7,operational
2025-04-11,ZIP-US-022,Eastside_Fulfillment,95.9,211,24.5,1.07,34.2,operational
2025-04-11,ZIP-US-023,Eastside_Fulfillment,96.0,214,17.9,0.97,37.4,operational
2025-04-11,ZIP-US-024,Eastside_Fulfillment,95.8,217,27.3,1.04,36.3,operational
2025-04-12,ZIP-US-001,Northside_Fulfillment,95.6,149,18.4,0.99,39.3,operational
2025-04-12,ZIP-US-002,Northside_Fulfillment,95.8,152,20.3,0.97,35.7,operational
2025-04-12,ZIP-US-003,Northside_Fulfillment,96.0,155,20.1,1.2,35.6,operational
2025-04-12,ZIP-US-004,Northside_Fulfillment,95.4,158,18.3,1.03,36.0,operational
2025-04-12,ZIP-US-005,Northside_Fulfillment,95.5,161,23.6,1.02,37.9,operational
2025-04-12,ZIP-US-006,Northside_Fulfillment,95.3,164,20.4,0.71,37.2,operational
2025-04-12,ZIP-US-007,Northside_Fulfillment,95.9,167,27.1,1.09,36.6,operational
2025-04-12,ZIP-US-008,Northside_Fulfillment,95.7,170,21.9,1.11,37.9,operational
2025-04-12,ZIP-US-009,Central_Fulfillment,95.9,173,20.8,1.02,37.1,operational
2025-04-12,ZIP-US-010,Central_Fulfillment,95.4,176,20.3,0.89,36.3,operational
2025-04-12,ZIP-US-011,Central_Fulfillment,96.1,179,20.4,0.86,35.6,operational
2025-04-12,ZIP-US-012,Central_Fulfillment,96.0,182,20.9,0.93,37.3,operational
2025-04-12,ZIP-US-013,Central_Fulfillment,95.8,185,18.2,0.96,37.5,operational
2025-04-12,ZIP-US-014,Central_Fulfillment,95.0,188,24.0,1.06,36.7,operational
2025-04-12,ZIP-US-015,Central_Fulfillment,94.8,191,23.0,1.01,37.2,operational
2025-04-12,ZIP-US-016,Central_Fulfillment,96.0,194,21.5,0.99,37.3,operational
2025-04-12,ZIP-US-017,Eastside_Fulfillment,95.5,197,19.7,0.63,37.7,operational
2025-04-12,ZIP-US-018,Eastside_Fulfillment,95.1,200,31.1,1.17,35.7,operational
2025-04-12,ZIP-US-019,Eastside_Fulfillment,95.2,203,24.2,0.72,36.1,operational
2025-04-12,ZIP-US-020,Eastside_Fulfillment,95.3,206,22.7,1.04,37.7,operational
2025-04-12,ZIP-US-021,Eastside_Fulfillment,95.5,209,26.1,0.9,38.2,operational
2025-04-12,ZIP-US-022,Eastside_Fulfillment,95.7,212,18.0,0.89,36.4,operational
2025-04-12,ZIP-US-023,Eastside_Fulfillment,95.6,215,20.9,1.45,36.0,operational
2025-04-12,ZIP-US-024,Eastside_Fulfillment,95.5,218,22.7,1.22,37.4,operational
