ticket_id,order_id,opened_at,contact_reason,resolution,refund_amount_usd,customer_sentiment
CS-32333,ORD-US-32332,2025-04-20T19:09:06,late_delivery,credit_issued,12,neutral
CS-32347,ORD-US-32346,2025-04-20T13:50:24,late_delivery,explanation_provided,3,neutral
CS-32374,ORD-US-32373,2025-04-20T20:35:54,late_delivery,explanation_provided,12,negative
CS-32379,ORD-US-32378,2025-04-20T19:30:18,late_delivery,credit_issued,8,neutral
CS-32381,ORD-US-32380,2025-04-20T18:52:18,late_delivery,explanation_provided,0,negative
CS-32496,ORD-US-32495,2025-04-21T12:21:18,late_delivery,credit_issued,3,positive
CS-32506,ORD-US-32505,2025-04-21T20:11:12,late_delivery,explanation_provided,12,negative
CS-32568,ORD-US-32567,2025-04-22T14:21:54,late_delivery,credit_issued,5,neutral
CS-32574,ORD-US-32573,2025-04-22T20:12:06,late_delivery,credit_issued,12,positive
CS-32581,ORD-US-32580,2025-04-22T10:59:18,late_delivery,explanation_provided,8,negative
CS-32596,ORD-US-32595,2025-04-22T10:44:48,late_delivery,explanation_provided,3,negative
CS-32608,ORD-US-32607,2025-04-22T10:35:12,late_delivery,credit_issued,8,positive
CS-32612,ORD-US-32611,2025-04-22T19:00:24,late_delivery,credit_issued,5,neutral
CS-32654,ORD-US-32653,2025-04-22T14:52:48,late_delivery,credit_issued,5,negative
CS-32657,ORD-US-32656,2025-04-22T18:38:18,late_delivery,credit_issued,5,negative
CS-32663,ORD-US-32662,2025-04-22T10:58:12,late_delivery,explanation_provided,12,positive
CS-32677,ORD-US-32676,2025-04-22T14:04:18,late_delivery,explanation_provided,0,neutral
CS-32717,ORD-US-32716,2025-04-23T13:27:18,late_delivery,explanation_provided,8,positive
CS-32810,ORD-US-32809,2025-04-24T13:42:12,late_delivery,credit_issued,3,negative
CS-32942,ORD-US-32941,2025-04-25T14:15:00,late_delivery,explanation_provided,5,negative
CS-33000,ORD-US-32999,2025-04-25T16:56:54,late_delivery,credit_issued,0,negative
CS-33018,ORD-US-33017,2025-04-25T09:08:06,late_delivery,credit_issued,0,positive
CS-33023,ORD-US-33022,2025-04-25T13:49:36,late_delivery,credit_issued,12,positive
CS-33030,ORD-US-33029,2025-04-25T18:21:30,late_delivery,explanation_provided,3,positive
CS-33116,ORD-US-33115,2025-04-26T09:20:18,late_delivery,explanation_provided,0,neutral
CS-33143,ORD-US-33142,2025-04-26T13:10:30,late_delivery,credit_issued,0,negative
CS-33211,ORD-US-33210,2025-04-27T20:04:00,late_delivery,credit_issued,0,neutral
CS-33242,ORD-US-33241,2025-04-27T10:33:42,late_delivery,credit_issued,3,negative
CS-33256,ORD-US-33255,2025-04-27T19:06:18,late_delivery,explanation_provided,5,negative
CS-33318,ORD-US-33317,2025-04-28T21:20:42,late_delivery,explanation_provided,12,negative
CS-33340,ORD-US-33339,2025-04-28T15:03:24,late_delivery,credit_issued,12,positive
CS-33353,ORD-US-33352,2025-04-28T11:01:06,late_delivery,credit_issued,8,positive
CS-33362,ORD-US-33361,2025-04-28T17:26:00,late_delivery,explanation_provided,8,negative
CS-33397,ORD-US-33396,2025-04-28T15:20:54,late_delivery,explanation_provided,5,negative
CS-33454,ORD-US-33453,2025-04-29T21:25:42,late_delivery,explanation_provided,12,negative
CS-33463,ORD-US-33462,2025-04-29T16:42:18,late_delivery,credit_issued,5,positive
CS-33485,ORD-US-33484,2025-04-29T20:00:00,late_delivery,explanation_provided,5,neutral
CS-33504,ORD-US-33503,2025-04-29T15:57:18,late_delivery,credit_issued,3,negative
CS-33507,ORD-US-33506,2025-04-29T14:48:06,late_delivery,explanation_provided,0,neutral
CS-33530,ORD-US-33529,2025-04-30T11:58:06,late_delivery,explanation_provided,3,negative
CS-33578,ORD-US-33577,2025-04-30T14:53:00,late_delivery,credit_issued,5,negative
CS-33586,ORD-US-33585,2025-04-30T17:00:18,late_delivery,credit_issued,12,positive
CS-33637,ORD-US-33636,2025-04-30T09:09:24,late_delivery,explanation_provided,3,neutral
CS-33642,ORD-US-33641,2025-04-30T12:53:30,late_delivery,credit_issued,8,neutral
CS-33702,ORD-US-33701,2025-05-01T10:02:12,late_delivery,credit_issued,3,positive
CS-33736,ORD-US-33735,2025-05-01T14:25:00,late_delivery,credit_issued,8,positive
CS-33762,ORD-US-33761,2025-05-02T15:52:30,late_delivery,explanation_provided,5,negative
CS-33802,ORD-US-33801,2025-05-02T21:08:00,late_delivery,credit_issued,3,neutral
CS-33804,ORD-US-33803,2025-05-02T18:22:54,late_delivery,credit_issued,3,negative
CS-33865,ORD-US-33864,2025-05-02T12:43:12,late_delivery,explanation_provided,12,positive
CS-33886,ORD-US-33885,2025-05-03T12:21:54,late_delivery,explanation_provided,3,negative
CS-33935,ORD-US-33934,2025-05-03T08:44:12,late_delivery,explanation_provided,12,negative
CS-33944,ORD-US-33943,2025-05-03T14:11:00,late_delivery,explanation_provided,0,negative
CS-33950,ORD-US-33949,2025-05-03T16:32:30,late_delivery,explanation_provided,0,neutral
CS-34008,ORD-US-34007,2025-05-04T10:41:24,late_delivery,credit_issued,8,positive
CS-34059,ORD-US-34058,2025-05-04T17:14:54,late_delivery,explanation_provided,12,negative
CS-34163,ORD-US-34162,2025-05-05T16:39:42,late_delivery,explanation_provided,3,negative
CS-34181,ORD-US-34180,2025-05-05T16:31:30,late_delivery,credit_issued,8,negative
CS-34188,ORD-US-34187,2025-05-05T17:34:00,late_delivery,explanation_provided,8,negative
CS-34227,ORD-US-34226,2025-05-05T17:35:00,late_delivery,credit_issued,0,neutral
CS-34249,ORD-US-34248,2025-05-06T14:25:42,late_delivery,credit_issued,12,neutral
CS-34251,ORD-US-34250,2025-05-06T17:05:18,late_delivery,credit_issued,3,negative
CS-34252,ORD-US-34251,2025-05-06T11:28:36,late_delivery,explanation_provided,0,negative
CS-34299,ORD-US-34298,2025-05-06T20:48:06,late_delivery,credit_issued,8,positive
CS-34320,ORD-US-34319,2025-05-06T15:10:48,late_delivery,credit_issued,0,negative
CS-34334,ORD-US-34333,2025-05-06T14:08:18,delivery_exception,credit_issued,3,positive
CS-34340,ORD-US-34339,2025-05-06T15:36:48,delivery_exception,explanation_provided,8,neutral
CS-34354,ORD-US-34353,2025-05-06T16:32:36,delivery_exception,credit_issued,8,neutral
CS-34359,ORD-US-34358,2025-05-06T21:04:06,late_delivery,credit_issued,0,positive
CS-34368,ORD-US-34367,2025-05-06T16:15:42,late_delivery,explanation_provided,5,neutral
CS-34452,ORD-US-34451,2025-05-07T21:06:30,late_delivery,explanation_provided,5,positive
CS-34514,ORD-US-34513,2025-05-08T09:49:30,late_delivery,credit_issued,12,negative
CS-34544,ORD-US-34543,2025-05-08T18:57:00,late_delivery,explanation_provided,0,negative
CS-34622,ORD-US-34621,2025-05-09T12:50:24,late_delivery,credit_issued,3,positive
CS-34731,ORD-US-34730,2025-05-10T21:16:42,late_delivery,credit_issued,3,neutral
CS-34766,ORD-US-34765,2025-05-10T17:05:12,late_delivery,explanation_provided,3,negative
CS-34807,ORD-US-34806,2025-05-10T19:17:18,late_delivery,explanation_provided,3,negative
CS-34854,ORD-US-34853,2025-05-11T14:59:30,late_delivery,credit_issued,12,negative
CS-34868,ORD-US-34867,2025-05-11T20:33:42,late_delivery,explanation_provided,3,negative
CS-34883,ORD-US-34882,2025-05-11T08:50:30,late_delivery,credit_issued,12,negative
CS-34947,ORD-US-34946,2025-05-11T10:54:36,late_delivery,credit_issued,8,positive
CS-35120,ORD-US-35119,2025-05-13T14:31:42,late_delivery,credit_issued,8,negative
CS-35144,ORD-US-35143,2025-05-13T18:32:09,late_delivery,credit_issued,0,negative
CS-35157,ORD-US-35156,2025-05-13T10:43:18,late_delivery,explanation_provided,12,negative
CS-35227,ORD-US-35226,2025-05-14T16:18:00,late_delivery,credit_issued,3,negative
CS-35282,ORD-US-35281,2025-05-14T08:51:12,late_delivery,credit_issued,8,neutral
CS-35295,ORD-US-35294,2025-05-14T16:33:12,late_delivery,credit_issued,3,negative
CS-35313,ORD-US-35312,2025-05-14T17:25:12,late_delivery,credit_issued,0,negative
CS-35355,ORD-US-35354,2025-05-15T15:14:24,late_delivery,explanation_provided,8,neutral
CS-35358,ORD-US-35357,2025-05-15T15:23:42,late_delivery,explanation_provided,8,negative
CS-35375,ORD-US-35374,2025-05-15T10:12:54,late_delivery,explanation_provided,8,neutral
CS-35403,ORD-US-35402,2025-05-15T09:05:24,late_delivery,explanation_provided,5,positive
CS-35408,ORD-US-35407,2025-05-15T09:44:36,late_delivery,credit_issued,5,neutral
CS-35416,ORD-US-35415,2025-05-15T15:00:06,late_delivery,credit_issued,3,negative
CS-35434,ORD-US-35433,2025-05-15T12:50:48,late_delivery,explanation_provided,5,neutral
CS-35454,ORD-US-35453,2025-05-16T10:34:12,late_delivery,credit_issued,3,negative
CS-35592,ORD-US-35591,2025-05-17T16:20:24,late_delivery,credit_issued,12,negative
CS-35646,ORD-US-35645,2025-05-17T14:40:18,late_delivery,credit_issued,3,negative
CS-35659,ORD-US-35658,2025-05-17T17:44:36,late_delivery,explanation_provided,0,negative
CS-35683,ORD-US-35682,2025-05-17T17:04:54,late_delivery,credit_issued,8,positive
CS-35723,ORD-US-35722,2025-05-18T13:07:12,late_delivery,credit_issued,8,negative
CS-35870,ORD-US-35869,2025-05-19T19:02:54,late_delivery,explanation_provided,3,neutral
CS-35880,ORD-US-35879,2025-05-19T14:47:42,late_delivery,explanation_provided,0,negative
CS-35929,ORD-US-35928,2025-05-19T20:22:18,late_delivery,credit_issued,12,neutral
CS-36014,ORD-US-36013,2025-05-20T10:57:54,late_delivery,credit_issued,5,positive
CS-36046,ORD-US-36045,2025-05-20T11:10:48,late_delivery,credit_issued,12,negative
CS-36150,ORD-US-36149,2025-05-21T08:45:54,late_delivery,credit_issued,12,neutral
CS-36210,ORD-US-36209,2025-05-22T15:36:06,late_delivery,explanation_provided,0,neutral
CS-36226,ORD-US-36225,2025-05-22T17:52:06,late_delivery,credit_issued,8,negative
CS-36241,ORD-US-36240,2025-05-22T15:52:48,late_delivery,explanation_provided,8,negative
CS-36317,ORD-US-36316,2025-05-23T16:19:36,late_delivery,credit_issued,3,negative
CS-36343,ORD-US-36342,2025-05-23T14:06:36,late_delivery,credit_issued,3,negative
CS-36395,ORD-US-36394,2025-05-23T15:12:48,late_delivery,credit_issued,5,positive
CS-36415,ORD-US-36414,2025-05-23T19:05:54,late_delivery,explanation_provided,0,negative
CS-36423,ORD-US-36422,2025-05-23T11:22:54,late_delivery,credit_issued,3,negative
CS-36430,ORD-US-36429,2025-05-24T15:23:06,late_delivery,credit_issued,3,negative
CS-36466,ORD-US-36465,2025-05-24T10:38:00,late_delivery,credit_issued,8,negative
CS-36496,ORD-US-36495,2025-05-24T09:01:24,late_delivery,credit_issued,3,negative
CS-36509,ORD-US-36508,2025-05-24T10:02:36,late_delivery,credit_issued,12,negative
CS-36522,ORD-US-36521,2025-05-24T11:22:24,late_delivery,explanation_provided,0,neutral
CS-36622,ORD-US-36621,2025-05-25T19:22:36,late_delivery,credit_issued,12,positive
CS-36884,ORD-US-36883,2025-05-27T14:13:18,late_delivery,credit_issued,8,negative
CS-36891,ORD-US-36890,2025-05-27T15:43:54,late_delivery,credit_issued,0,negative
CS-36957,ORD-US-36956,2025-05-28T11:37:36,late_delivery,explanation_provided,12,positive
CS-37023,ORD-US-37022,2025-05-28T18:06:48,late_delivery,credit_issued,0,negative
CS-37040,ORD-US-37039,2025-05-28T17:59:48,late_delivery,credit_issued,5,positive
CS-37124,ORD-US-37123,2025-05-29T11:00:36,late_delivery,credit_issued,0,positive
CS-37173,ORD-US-37172,2025-05-29T12:15:30,late_delivery,credit_issued,12,negative
CS-37214,ORD-US-37213,2025-05-30T12:22:06,late_delivery,credit_issued,3,neutral
CS-37397,ORD-US-37396,2025-05-31T12:57:48,late_delivery,explanation_provided,12,negative
CS-37412,ORD-US-37411,2025-05-31T15:21:48,late_delivery,credit_issued,5,neutral
CS-37436,ORD-US-37435,2025-06-01T10:03:36,delivery_exception,credit_issued,3,negative
CS-37522,ORD-US-37521,2025-06-01T09:48:00,late_delivery,credit_issued,8,positive
CS-37524,ORD-US-37523,2025-06-01T16:53:30,late_delivery,explanation_provided,3,negative
CS-37526,ORD-US-37525,2025-06-01T09:41:00,late_delivery,explanation_provided,8,positive
CS-37537,ORD-US-37536,2025-06-02T20:04:30,late_delivery,explanation_provided,3,neutral
CS-37540,ORD-US-37539,2025-06-02T10:25:30,late_delivery,credit_issued,12,negative
CS-37555,ORD-US-37554,2025-06-02T11:05:18,late_delivery,credit_issued,3,neutral
CS-37581,ORD-US-37580,2025-06-02T14:01:48,late_delivery,explanation_provided,12,negative
CS-37608,ORD-US-37607,2025-06-02T21:45:48,late_delivery,explanation_provided,12,negative
CS-37624,ORD-US-37623,2025-06-02T21:08:18,late_delivery,credit_issued,5,negative
CS-37667,ORD-US-37666,2025-06-03T14:11:12,late_delivery,explanation_provided,5,positive
CS-37686,ORD-US-37685,2025-06-03T11:19:54,late_delivery,credit_issued,3,neutral
CS-37706,ORD-US-37705,2025-06-03T10:37:24,late_delivery,explanation_provided,0,negative
CS-37747,ORD-US-37746,2025-06-03T18:47:00,late_delivery,credit_issued,3,positive
CS-37768,ORD-US-37767,2025-06-03T20:08:18,late_delivery,credit_issued,8,negative
CS-37780,ORD-US-37779,2025-06-04T19:54:54,late_delivery,explanation_provided,3,negative
CS-37793,ORD-US-37792,2025-06-04T11:21:54,late_delivery,explanation_provided,8,negative
CS-37816,ORD-US-37815,2025-06-04T14:12:36,late_delivery,explanation_provided,0,negative
CS-37889,ORD-US-37888,2025-06-04T09:33:00,late_delivery,credit_issued,0,neutral
CS-37903,ORD-US-37902,2025-06-05T13:38:30,late_delivery,credit_issued,8,positive
CS-37915,ORD-US-37914,2025-06-05T20:16:18,late_delivery,credit_issued,12,negative
CS-37999,ORD-US-37998,2025-06-05T11:19:30,late_delivery,explanation_provided,8,positive
CS-38007,ORD-US-38006,2025-06-05T16:14:24,late_delivery,credit_issued,8,negative
CS-38011,ORD-US-38010,2025-06-05T12:10:06,late_delivery,explanation_provided,12,negative
CS-38024,ORD-US-38023,2025-06-06T11:28:36,late_delivery,credit_issued,3,negative
CS-38072,ORD-US-38071,2025-06-06T19:16:42,late_delivery,credit_issued,3,negative
CS-38093,ORD-US-38092,2025-06-06T18:06:18,late_delivery,explanation_provided,12,negative
CS-38168,ORD-US-38167,2025-06-07T11:05:42,late_delivery,credit_issued,12,negative
CS-38169,ORD-US-38168,2025-06-07T10:22:12,late_delivery,credit_issued,8,positive
CS-38240,ORD-US-38239,2025-06-07T17:37:18,late_delivery,credit_issued,0,negative
CS-38270,ORD-US-38269,2025-06-08T17:24:06,late_delivery,credit_issued,12,negative
CS-38324,ORD-US-38323,2025-06-08T19:51:06,late_delivery,credit_issued,5,negative
CS-38380,ORD-US-38379,2025-06-09T20:37:00,late_delivery,credit_issued,0,neutral
CS-38393,ORD-US-38392,2025-06-09T17:16:06,late_delivery,credit_issued,3,neutral
CS-38435,ORD-US-38434,2025-06-09T11:52:00,late_delivery,explanation_provided,12,negative
CS-38464,ORD-US-38463,2025-06-09T19:23:00,late_delivery,credit_issued,12,negative
CS-38568,ORD-US-38567,2025-06-10T14:14:42,late_delivery,explanation_provided,0,positive
CS-38599,ORD-US-38598,2025-06-10T15:29:30,late_delivery,explanation_provided,12,negative
CS-38629,ORD-US-38628,2025-06-10T15:07:00,late_delivery,credit_issued,5,negative
CS-38691,ORD-US-38690,2025-06-11T11:40:00,late_delivery,credit_issued,8,neutral
CS-38760,ORD-US-38759,2025-06-11T21:28:48,late_delivery,credit_issued,3,positive
CS-38779,ORD-US-38778,2025-06-12T18:47:36,late_delivery,credit_issued,5,neutral
CS-38857,ORD-US-38856,2025-06-12T14:38:00,late_delivery,credit_issued,12,positive
CS-38892,ORD-US-38891,2025-06-13T12:55:06,late_delivery,credit_issued,8,neutral
CS-39133,ORD-US-39132,2025-06-15T12:43:30,late_delivery,explanation_provided,0,negative
CS-39196,ORD-US-39195,2025-06-15T11:45:36,late_delivery,credit_issued,0,negative
CS-39296,ORD-US-39295,2025-06-16T19:32:24,late_delivery,credit_issued,0,positive
CS-39297,ORD-US-39296,2025-06-16T16:00:00,late_delivery,explanation_provided,0,negative
CS-39365,ORD-US-39364,2025-06-16T12:41:42,late_delivery,credit_issued,3,positive
CS-39371,ORD-US-39370,2025-06-16T11:46:30,late_delivery,credit_issued,12,negative
CS-39384,ORD-US-39383,2025-06-17T16:02:12,late_delivery,explanation_provided,8,positive
CS-39397,ORD-US-39396,2025-06-17T18:20:36,late_delivery,credit_issued,0,neutral
CS-39515,ORD-US-39514,2025-06-18T13:38:06,late_delivery,credit_issued,5,negative
CS-39521,ORD-US-39520,2025-06-18T14:37:48,late_delivery,explanation_provided,12,neutral
CS-39624,ORD-US-39623,2025-06-19T16:06:54,late_delivery,explanation_provided,3,positive
CS-39628,ORD-US-39627,2025-06-19T21:01:12,late_delivery,explanation_provided,8,negative
CS-39647,ORD-US-39646,2025-06-19T21:09:54,late_delivery,credit_issued,8,negative
CS-39670,ORD-US-39669,2025-06-19T21:13:42,late_delivery,credit_issued,8,negative
CS-39700,ORD-US-39699,2025-06-19T09:10:30,late_delivery,credit_issued,12,negative
CS-39724,ORD-US-39723,2025-06-19T19:58:18,late_delivery,credit_issued,8,negative
CS-39737,ORD-US-39736,2025-06-20T10:12:06,late_delivery,credit_issued,5,positive
CS-39772,ORD-US-39771,2025-06-20T21:38:18,late_delivery,credit_issued,12,negative
CS-39773,ORD-US-39772,2025-06-20T17:38:54,late_delivery,credit_issued,12,negative
CS-39817,ORD-US-39816,2025-06-20T12:58:00,late_delivery,credit_issued,5,neutral
CS-39864,ORD-US-39863,2025-06-21T13:12:18,late_delivery,explanation_provided,12,neutral
CS-39917,ORD-US-39916,2025-06-21T19:50:00,late_delivery,explanation_provided,12,negative
CS-40020,ORD-US-40019,2025-06-22T12:34:36,late_delivery,explanation_provided,12,positive
CS-40063,ORD-US-40062,2025-06-22T17:14:06,late_delivery,credit_issued,8,positive
CS-40146,ORD-US-40145,2025-06-23T15:44:18,late_delivery,explanation_provided,12,neutral
CS-40191,ORD-US-40190,2025-06-23T12:14:30,late_delivery,credit_issued,8,positive
CS-40207,ORD-US-40206,2025-06-23T17:41:06,late_delivery,credit_issued,0,negative
CS-40322,ORD-US-40321,2025-06-24T12:13:24,late_delivery,credit_issued,3,neutral
CS-40327,ORD-US-40326,2025-06-24T12:13:42,late_delivery,explanation_provided,5,negative
CS-40339,ORD-US-40338,2025-06-24T18:00:36,late_delivery,credit_issued,12,neutral
CS-40340,ORD-US-40339,2025-06-24T18:57:18,late_delivery,credit_issued,3,negative
CS-40387,ORD-US-40386,2025-06-25T13:38:06,late_delivery,credit_issued,0,neutral
CS-40426,ORD-US-40425,2025-06-25T17:35:06,late_delivery,credit_issued,0,neutral
CS-40515,ORD-US-40514,2025-06-26T10:15:24,late_delivery,credit_issued,12,negative
CS-40532,ORD-US-40531,2025-06-26T10:28:30,late_delivery,credit_issued,5,neutral
CS-40537,ORD-US-40536,2025-06-26T19:28:18,late_delivery,credit_issued,3,positive
CS-40597,ORD-US-40596,2025-06-27T12:22:00,late_delivery,credit_issued,5,neutral
CS-40642,ORD-US-40641,2025-06-27T14:27:12,late_delivery,credit_issued,12,negative
CS-40742,ORD-US-40741,2025-06-28T14:58:30,late_delivery,explanation_provided,12,neutral
CS-40799,ORD-US-40798,2025-06-28T21:08:36,late_delivery,credit_issued,12,negative
CS-40855,ORD-US-40854,2025-06-29T08:58:12,late_delivery,explanation_provided,8,neutral
CS-40907,ORD-US-40906,2025-06-29T11:06:30,late_delivery,explanation_provided,12,positive
CS-40914,ORD-US-40913,2025-06-29T17:35:24,late_delivery,credit_issued,3,negative
CS-40953,ORD-US-40952,2025-06-29T09:52:18,late_delivery,credit_issued,3,negative
