order_id,requested_at,merchant_id,merchant_name,merchant_category,fulfillment_site,delivery_zone,item_count,payload_weight_kg,service_level,promised_minutes,order_status
ORD-US-30021,2025-04-01T08:35:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,4,0.84,standard,55,fulfilled
ORD-US-30022,2025-04-01T10:55:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,2,0.8,time_sensitive,25,fulfilled
ORD-US-30023,2025-04-01T10:25:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Brookfield,2,0.28,standard,55,fulfilled
ORD-US-30024,2025-04-01T17:15:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Maplewood,3,0.32,standard,55,fulfilled
ORD-US-30025,2025-04-01T13:40:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,1,0.55,standard,55,fulfilled
ORD-US-30026,2025-04-01T12:10:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Maplewood,2,0.5,standard,55,fulfilled
ORD-US-30027,2025-04-01T16:45:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Cedar Park,2,0.78,standard,55,fulfilled
ORD-US-30028,2025-04-01T15:20:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Brookfield,1,0.57,standard,55,fulfilled
ORD-US-30029,2025-04-01T14:15:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Brookfield,3,0.53,priority,35,fulfilled
ORD-US-30030,2025-04-01T17:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Cedar Park,1,0.96,time_sensitive,25,fulfilled
ORD-US-30031,2025-04-01T10:40:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,2,1.14,standard,55,fulfilled
ORD-US-30032,2025-04-01T18:10:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Brookfield,2,0.25,standard,55,fulfilled
ORD-US-30033,2025-04-01T15:55:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,5,0.67,standard,55,fulfilled
ORD-US-30034,2025-04-01T18:00:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Cedar Park,2,1.01,standard,55,fulfilled
ORD-US-30035,2025-04-01T08:55:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Maplewood,4,1.41,standard,55,fulfilled
ORD-US-30036,2025-04-01T18:20:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Brookfield,4,0.87,standard,55,fulfilled
ORD-US-30037,2025-04-01T13:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,5,1.31,standard,55,fulfilled
ORD-US-30038,2025-04-01T16:20:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,1,0.27,standard,55,fulfilled
ORD-US-30039,2025-04-01T09:50:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Maplewood,4,0.86,standard,55,fulfilled
ORD-US-30040,2025-04-01T09:40:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,1,0.51,standard,55,fulfilled
ORD-US-30041,2025-04-01T10:45:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,3,0.29,time_sensitive,25,fulfilled
ORD-US-30042,2025-04-01T15:00:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,3,0.8,standard,55,fulfilled
ORD-US-30043,2025-04-01T16:35:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,5,0.19,standard,55,fulfilled
ORD-US-30044,2025-04-01T18:25:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,South Park,5,1.45,priority,35,fulfilled
ORD-US-30045,2025-04-01T18:35:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Westgate,5,1.39,standard,55,fulfilled
ORD-US-30046,2025-04-01T12:25:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,1,1.13,standard,55,fulfilled
ORD-US-30047,2025-04-01T11:20:00,M-007,Home & Handy,retail,Central_Fulfillment,Westgate,3,1.35,standard,55,fulfilled
ORD-US-30048,2025-04-01T19:40:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,5,0.65,standard,55,fulfilled
ORD-US-30049,2025-04-01T15:35:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Riverside,4,0.72,standard,55,fulfilled
ORD-US-30050,2025-04-01T09:30:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Downtown,2,0.49,priority,35,fulfilled
ORD-US-30051,2025-04-01T11:05:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Westgate,2,0.86,priority,35,fulfilled
ORD-US-30052,2025-04-01T15:10:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Downtown,5,1.32,standard,55,fulfilled
ORD-US-30053,2025-04-01T09:25:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,1,0.76,standard,55,fulfilled
ORD-US-30054,2025-04-01T15:05:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Downtown,1,0.51,standard,55,fulfilled
ORD-US-30055,2025-04-01T19:40:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,2,0.92,time_sensitive,25,fulfilled
ORD-US-30056,2025-04-01T13:10:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Downtown,3,0.92,standard,55,fulfilled
ORD-US-30057,2025-04-01T19:40:00,M-007,Home & Handy,retail,Central_Fulfillment,South Park,2,0.37,priority,35,fulfilled
ORD-US-30058,2025-04-01T13:00:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,1,0.27,standard,55,fulfilled
ORD-US-30059,2025-04-01T14:55:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,4,0.83,standard,55,fulfilled
ORD-US-30060,2025-04-01T08:55:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Riverside,4,0.67,standard,55,fulfilled
ORD-US-30061,2025-04-01T12:45:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,4,0.25,standard,55,fulfilled
ORD-US-30062,2025-04-01T10:00:00,M-008,Noodle House,prepared_food,Central_Fulfillment,South Park,3,1.62,standard,55,fulfilled
ORD-US-30063,2025-04-01T12:00:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Downtown,4,0.91,priority,35,fulfilled
ORD-US-30064,2025-04-01T10:10:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Riverside,3,1.3,standard,55,fulfilled
ORD-US-30065,2025-04-01T16:15:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,South Park,2,0.92,priority,35,fulfilled
ORD-US-30066,2025-04-01T14:55:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,1,0.72,standard,55,fulfilled
ORD-US-30067,2025-04-01T17:50:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,1,0.71,priority,35,fulfilled
ORD-US-30068,2025-04-01T18:05:00,M-007,Home & Handy,retail,Central_Fulfillment,Riverside,4,0.39,time_sensitive,25,fulfilled
ORD-US-30069,2025-04-01T13:00:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Riverside,5,1.41,standard,55,fulfilled
ORD-US-30070,2025-04-01T15:00:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,1,1.51,priority,35,fulfilled
ORD-US-30071,2025-04-01T17:20:00,M-007,Home & Handy,retail,Central_Fulfillment,Westgate,3,1.1,standard,55,fulfilled
ORD-US-30072,2025-04-01T12:50:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,5,0.59,standard,55,fulfilled
ORD-US-30073,2025-04-01T15:00:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Westgate,1,0.18,standard,55,fulfilled
ORD-US-30074,2025-04-01T17:15:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,2,0.99,priority,35,fulfilled
ORD-US-30075,2025-04-01T12:40:00,M-007,Home & Handy,retail,Central_Fulfillment,South Park,4,0.91,standard,55,fulfilled
ORD-US-30076,2025-04-01T16:40:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,5,0.64,standard,55,fulfilled
ORD-US-30077,2025-04-01T08:10:00,M-007,Home & Handy,retail,Central_Fulfillment,South Park,1,0.43,priority,35,fulfilled
ORD-US-30078,2025-04-01T18:10:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,South Park,3,0.26,priority,35,fulfilled
ORD-US-30079,2025-04-01T18:45:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Riverside,5,1.56,standard,55,fulfilled
ORD-US-30080,2025-04-01T17:35:00,M-008,Noodle House,prepared_food,Central_Fulfillment,South Park,4,0.92,standard,55,fulfilled
ORD-US-30081,2025-04-01T17:45:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Harbor Point,4,0.92,standard,55,fulfilled
ORD-US-30082,2025-04-01T18:50:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Meadowview,5,0.27,priority,35,fulfilled
ORD-US-30083,2025-04-01T09:20:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Harbor Point,1,0.71,priority,35,fulfilled
ORD-US-30084,2025-04-01T19:10:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Harbor Point,2,0.43,standard,55,fulfilled
ORD-US-30085,2025-04-01T12:50:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Harbor Point,2,0.35,priority,35,fulfilled
ORD-US-30086,2025-04-01T11:15:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Meadowview,5,1.12,priority,35,fulfilled
ORD-US-30087,2025-04-01T17:15:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Lakeside,4,0.93,priority,35,fulfilled
ORD-US-30088,2025-04-01T14:05:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Harbor Point,2,0.34,standard,55,fulfilled
ORD-US-30089,2025-04-01T13:20:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Meadowview,4,1.07,standard,55,fulfilled
ORD-US-30090,2025-04-01T20:05:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,East Ridge,4,1.16,standard,55,fulfilled
ORD-US-30091,2025-04-01T20:20:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,Harbor Point,5,0.33,standard,55,fulfilled
ORD-US-30092,2025-04-01T19:00:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,East Ridge,4,0.96,priority,35,fulfilled
ORD-US-30093,2025-04-01T14:55:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Meadowview,3,0.41,standard,55,fulfilled
ORD-US-30094,2025-04-01T15:55:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Harbor Point,2,0.92,standard,55,fulfilled
ORD-US-30095,2025-04-01T19:05:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,East Ridge,1,0.64,priority,35,fulfilled
ORD-US-30096,2025-04-01T09:15:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Meadowview,2,0.67,priority,35,fulfilled
ORD-US-30097,2025-04-01T18:05:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Meadowview,5,1.5,standard,55,fulfilled
ORD-US-30098,2025-04-01T10:10:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Harbor Point,3,0.57,priority,35,fulfilled
ORD-US-30099,2025-04-01T16:10:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,2,0.62,priority,35,fulfilled
ORD-US-30100,2025-04-01T09:05:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,0.89,priority,35,fulfilled
ORD-US-30101,2025-04-01T18:15:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,0.79,standard,55,fulfilled
ORD-US-30102,2025-04-01T14:45:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,East Ridge,4,0.64,priority,35,fulfilled
ORD-US-30103,2025-04-01T14:10:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,0.88,standard,55,fulfilled
ORD-US-30104,2025-04-01T12:50:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Meadowview,3,1.63,standard,55,fulfilled
ORD-US-30105,2025-04-01T16:30:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,Harbor Point,1,1.48,priority,35,fulfilled
ORD-US-30106,2025-04-01T13:25:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Lakeside,4,0.59,priority,35,fulfilled
ORD-US-30107,2025-04-01T20:20:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,Lakeside,1,0.39,time_sensitive,25,fulfilled
ORD-US-30108,2025-04-01T13:45:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,0.74,standard,55,fulfilled
ORD-US-30109,2025-04-01T08:55:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Harbor Point,5,1.34,standard,55,fulfilled
ORD-US-30110,2025-04-01T08:55:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,1.41,standard,55,fulfilled
ORD-US-30111,2025-04-01T15:10:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Lakeside,5,1.06,time_sensitive,25,fulfilled
ORD-US-30112,2025-04-01T13:50:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Lakeside,4,0.74,time_sensitive,25,fulfilled
ORD-US-30113,2025-04-01T08:15:00,M-012,Tech Stop,retail,Eastside_Fulfillment,Harbor Point,1,1.48,priority,35,fulfilled
ORD-US-30114,2025-04-01T14:30:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Harbor Point,3,1.0,standard,55,fulfilled
ORD-US-30115,2025-04-01T09:45:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,Harbor Point,3,0.61,standard,55,fulfilled
ORD-US-30116,2025-04-01T19:30:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,East Ridge,5,0.51,priority,35,fulfilled
ORD-US-30117,2025-04-01T11:35:00,M-011,Wellness Pharmacy,pharmacy,Eastside_Fulfillment,East Ridge,4,1.6,priority,35,fulfilled
ORD-US-30118,2025-04-01T09:55:00,M-012,Tech Stop,retail,Eastside_Fulfillment,East Ridge,1,0.72,priority,35,fulfilled
ORD-US-30119,2025-04-01T17:10:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Harbor Point,1,0.55,time_sensitive,25,fulfilled
ORD-US-30120,2025-04-01T12:55:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,Harbor Point,3,1.07,standard,55,fulfilled
ORD-US-30121,2025-04-01T13:50:00,M-010,Burger District,prepared_food,Eastside_Fulfillment,Meadowview,2,0.16,standard,55,fulfilled
ORD-US-30122,2025-04-01T09:40:00,M-012,Tech Stop,retail,Eastside_Fulfillment,East Ridge,3,0.96,standard,55,fulfilled
ORD-US-30123,2025-04-01T10:55:00,M-009,Daily Mart,grocery,Eastside_Fulfillment,Lakeside,2,0.58,standard,55,fulfilled
ORD-US-30124,2025-04-02T09:40:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,North Hills,5,0.64,standard,55,fulfilled
ORD-US-30125,2025-04-02T10:05:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,4,0.73,priority,35,fulfilled
ORD-US-30126,2025-04-02T10:55:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Cedar Park,2,1.06,standard,55,fulfilled
ORD-US-30127,2025-04-02T20:45:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,4,0.49,standard,55,fulfilled
ORD-US-30128,2025-04-02T10:25:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Maplewood,5,0.85,standard,55,fulfilled
ORD-US-30129,2025-04-02T08:20:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,4,1.15,priority,35,fulfilled
ORD-US-30130,2025-04-02T14:35:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,1,1.46,standard,55,fulfilled
ORD-US-30131,2025-04-02T16:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,2,0.85,priority,35,fulfilled
ORD-US-30132,2025-04-02T12:30:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,4,1.4,standard,55,fulfilled
ORD-US-30133,2025-04-02T13:10:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,3,1.48,priority,35,fulfilled
ORD-US-30134,2025-04-02T19:00:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Maplewood,4,0.46,priority,35,fulfilled
ORD-US-30135,2025-04-02T14:40:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Brookfield,4,0.82,priority,35,fulfilled
ORD-US-30136,2025-04-02T11:40:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,3,1.14,time_sensitive,25,fulfilled
ORD-US-30137,2025-04-02T10:30:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,North Hills,1,1.03,standard,55,fulfilled
ORD-US-30138,2025-04-02T08:15:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Brookfield,3,0.25,priority,35,fulfilled
ORD-US-30139,2025-04-02T17:00:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Brookfield,4,0.76,priority,35,fulfilled
ORD-US-30140,2025-04-02T09:10:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Brookfield,4,0.77,standard,55,fulfilled
ORD-US-30141,2025-04-02T09:55:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,North Hills,3,0.56,standard,55,fulfilled
ORD-US-30142,2025-04-02T16:15:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Maplewood,5,0.93,priority,35,fulfilled
ORD-US-30143,2025-04-02T13:30:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Cedar Park,1,1.49,standard,55,fulfilled
ORD-US-30144,2025-04-02T18:45:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Cedar Park,5,0.59,standard,55,fulfilled
ORD-US-30145,2025-04-02T16:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Cedar Park,2,1.13,standard,55,fulfilled
ORD-US-30146,2025-04-02T18:35:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Cedar Park,4,1.54,standard,55,fulfilled
ORD-US-30147,2025-04-02T17:25:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,4,1.65,priority,35,fulfilled
ORD-US-30148,2025-04-02T12:40:00,M-003,Pasta Garden,prepared_food,Northside_Fulfillment,Cedar Park,4,0.65,standard,55,fulfilled
ORD-US-30149,2025-04-02T15:45:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,2,0.54,standard,55,fulfilled
ORD-US-30150,2025-04-02T18:00:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,5,0.84,standard,55,fulfilled
ORD-US-30151,2025-04-02T15:30:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,3,1.57,standard,55,fulfilled
ORD-US-30152,2025-04-02T13:30:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,North Hills,5,0.22,time_sensitive,25,fulfilled
ORD-US-30153,2025-04-02T19:20:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,North Hills,5,0.34,standard,55,fulfilled
ORD-US-30154,2025-04-02T16:40:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,1,1.11,time_sensitive,25,fulfilled
ORD-US-30155,2025-04-02T14:40:00,M-001,Green Basket Market,grocery,Northside_Fulfillment,Brookfield,5,0.33,priority,35,fulfilled
ORD-US-30156,2025-04-02T08:50:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,North Hills,3,0.53,standard,55,fulfilled
ORD-US-30157,2025-04-02T10:25:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,3,0.7,standard,55,fulfilled
ORD-US-30158,2025-04-02T20:10:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Cedar Park,3,1.15,standard,55,fulfilled
ORD-US-30159,2025-04-02T20:15:00,M-002,Crisp & Co.,prepared_food,Northside_Fulfillment,Maplewood,5,1.41,standard,55,fulfilled
ORD-US-30160,2025-04-02T14:25:00,M-004,QuickCare Pharmacy,pharmacy,Northside_Fulfillment,Maplewood,3,1.22,standard,55,fulfilled
ORD-US-30161,2025-04-02T18:45:00,M-008,Noodle House,prepared_food,Central_Fulfillment,South Park,2,0.55,priority,35,fulfilled
ORD-US-30162,2025-04-02T09:45:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Downtown,2,0.71,priority,35,fulfilled
ORD-US-30163,2025-04-02T19:20:00,M-007,Home & Handy,retail,Central_Fulfillment,Westgate,4,1.42,standard,55,fulfilled
ORD-US-30164,2025-04-02T13:30:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,5,0.63,standard,55,fulfilled
ORD-US-30165,2025-04-02T15:40:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Riverside,5,0.57,standard,55,fulfilled
ORD-US-30166,2025-04-02T09:15:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,South Park,5,1.25,priority,35,fulfilled
ORD-US-30167,2025-04-02T13:55:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Riverside,2,1.13,standard,55,fulfilled
ORD-US-30168,2025-04-02T15:40:00,M-007,Home & Handy,retail,Central_Fulfillment,South Park,3,0.87,standard,55,fulfilled
ORD-US-30169,2025-04-02T15:00:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Riverside,3,1.05,standard,55,fulfilled
ORD-US-30170,2025-04-02T13:40:00,M-007,Home & Handy,retail,Central_Fulfillment,Riverside,4,0.24,standard,55,fulfilled
ORD-US-30171,2025-04-02T17:30:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,4,0.21,standard,55,fulfilled
ORD-US-30172,2025-04-02T16:00:00,M-007,Home & Handy,retail,Central_Fulfillment,Riverside,3,1.6,standard,55,fulfilled
ORD-US-30173,2025-04-02T11:55:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Riverside,4,0.64,priority,35,fulfilled
ORD-US-30174,2025-04-02T12:40:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Riverside,2,1.1,standard,55,fulfilled
ORD-US-30175,2025-04-02T20:45:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,3,1.15,standard,55,fulfilled
ORD-US-30176,2025-04-02T11:45:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,5,1.61,priority,35,fulfilled
ORD-US-30177,2025-04-02T10:15:00,M-008,Noodle House,prepared_food,Central_Fulfillment,South Park,2,1.31,standard,55,fulfilled
ORD-US-30178,2025-04-02T09:05:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Downtown,4,0.74,priority,35,fulfilled
ORD-US-30179,2025-04-02T14:40:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Riverside,5,0.9,standard,55,fulfilled
ORD-US-30180,2025-04-02T20:50:00,M-005,Corner Table,prepared_food,Central_Fulfillment,South Park,1,0.69,standard,55,fulfilled
ORD-US-30181,2025-04-02T19:20:00,M-005,Corner Table,prepared_food,Central_Fulfillment,Westgate,4,1.13,time_sensitive,25,fulfilled
ORD-US-30182,2025-04-02T17:25:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,South Park,5,0.3,standard,55,fulfilled
ORD-US-30183,2025-04-02T10:30:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Westgate,2,1.61,priority,35,fulfilled
ORD-US-30184,2025-04-02T10:50:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Downtown,5,1.04,standard,55,fulfilled
ORD-US-30185,2025-04-02T16:55:00,M-008,Noodle House,prepared_food,Central_Fulfillment,Westgate,1,0.5,priority,35,fulfilled
ORD-US-30186,2025-04-02T08:30:00,M-006,Fresh Roots Grocery,grocery,Central_Fulfillment,Riverside,1,1.2,standard,55,fulfilled
