flight_id,drone_id,drone_model,date,launch_time,recovery_time,hub,destination,distance_one_way_km,payload_type,payload_item,payload_weight_kg,urgency,cruise_speed_kph,cruise_altitude_m,flight_duration_min,battery_start_pct,battery_end_pct,battery_consumption_pct,wind_speed_kph,wind_gust_kph,visibility_km,status,anomaly_flag,operator_notes
FL-10010,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:05:00,2025-01-01T15:44:24,Nest_Alpha,Kigali_East_Clinic,26.5,vaccine,routine_vaccines,0.75,routine,104.1,103.7,39.4,96,49.6,46.4,15.8,25.5,14.2,completed,none,
FL-10011,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:55:00,2025-01-01T07:38:48,Nest_Alpha,Rwamagana_Clinic,28.5,blood_product,O_negative_whole_blood,1.35,routine,102.1,113.5,43.8,98,50.1,47.9,4.2,14.1,15.6,completed,none,
FL-10012,ZIP-001,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:00:00,2025-01-01T12:41:36,Nest_Alpha,Rwamagana_Clinic,28.5,supplies,diagnostic_test_kits,0.9,scheduled,103.3,102.3,41.6,96,49.4,46.6,8.1,14.7,14.1,completed,none,
FL-10013,ZIP-006,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:15:00,2025-01-01T14:27:00,Nest_Alpha,Bugesera_Health_Post,52.3,vaccine,routine_vaccines,0.75,scheduled,105.4,112.1,72.0,97,28.2,68.8,18.7,24.5,14.8,completed,none,
FL-10014,ZIP-002,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:40:00,2025-01-01T09:51:48,Nest_Alpha,Ngoma_Health_Post,55.1,medication,antiretroviral_supply,1.05,scheduled,103.5,98.2,71.8,100,32.0,68.0,10.4,16.0,15.3,completed,none,
FL-10015,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:00:00,2025-01-01T17:04:42,Nest_Alpha,Kayonza_Clinic,47.8,blood_product,O_negative_whole_blood,1.35,urgent,95.9,106.6,64.7,98,35.8,62.2,14.8,19.9,15.6,completed,none,
FL-10016,ZIP-002,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:15:00,2025-01-01T08:28:42,Nest_Alpha,Ngoma_Health_Post,55.1,medication,antiretroviral_supply,1.05,urgent,101.9,109.9,73.7,98,30.2,67.8,5.0,9.5,13.4,completed,none,
FL-10017,ZIP-006,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T09:30:00,2025-01-01T10:35:36,Nest_Alpha,Kayonza_Clinic,47.8,vaccine,routine_vaccines,0.75,urgent,105.8,112.4,65.6,96,35.7,60.3,9.6,15.6,13.9,completed,none,
FL-10018,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:10:00,2025-01-01T11:20:54,Nest_Alpha,Kayonza_Clinic,47.8,vaccine,routine_vaccines,0.75,urgent,102.4,100.1,70.9,97,34.8,62.2,12.4,20.9,13.9,completed,none,
FL-10019,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:30:00,2025-01-01T11:36:48,Nest_Alpha,Kayonza_Clinic,47.8,supplies,diagnostic_test_kits,0.9,emergency,101.9,98.4,66.8,96,34.6,61.4,12.4,20.9,13.9,completed,none,
FL-10020,ZIP-001,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:30:00,2025-01-01T07:35:42,Nest_Alpha,Kayonza_Clinic,47.8,medication,insulin_cold_chain,0.65,scheduled,101.1,113.9,65.7,99,37.8,61.2,4.2,14.1,15.6,completed,none,
FL-10021,ZIP-006,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:00:00,2025-01-01T13:17:48,Nest_Alpha,Ngoma_Health_Post,55.1,blood_product,platelets_2_units,1.55,routine,100.4,111.6,77.8,97,28.5,68.5,8.1,14.7,14.1,completed,none,
FL-10022,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:10:00,2025-01-01T07:48:36,Nest_Alpha,Kigali_East_Clinic,26.5,medication,antiretroviral_supply,1.05,routine,104.6,114.8,38.6,99,53.7,45.3,5.0,9.5,13.4,completed,none,
FL-10023,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:10:00,2025-01-01T17:22:24,Nest_Alpha,Ngoma_Health_Post,55.1,medication,antiretroviral_supply,1.05,urgent,101.1,96.7,72.4,96,24.2,71.8,14.8,19.9,15.6,completed,none,
FL-10024,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T09:10:00,2025-01-01T10:22:36,Nest_Alpha,Bugesera_Health_Post,52.3,medication,insulin_cold_chain,0.65,routine,100.7,107.8,72.6,98,31.9,66.1,9.6,15.6,13.9,completed,none,
FL-10025,ZIP-002,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T17:15:00,2025-01-01T17:56:24,Nest_Alpha,Kigali_East_Clinic,26.5,supplies,diagnostic_test_kits,0.9,routine,100.7,103.6,41.4,96,50.8,45.2,16.8,26.4,14.7,completed,none,
FL-10026,ZIP-004,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:50:00,2025-01-01T08:51:48,Nest_Alpha,Kayonza_Clinic,47.8,medication,insulin_cold_chain,0.65,scheduled,100.6,98.1,61.8,99,38.7,60.3,5.0,9.5,13.4,completed,none,
FL-10027,ZIP-004,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:05:00,2025-01-01T06:57:18,Nest_Alpha,Kabuga_Health_Center,34.2,medication,antiretroviral_supply,1.05,routine,99.3,95.6,52.3,97,42.7,54.3,4.2,14.1,15.6,completed,none,
FL-10028,ZIP-007,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:10:00,2025-01-01T15:48:48,Nest_Alpha,Kigali_East_Clinic,26.5,medication,antiretroviral_supply,1.05,routine,105.6,97.3,38.8,100,51.2,48.8,15.8,25.5,14.2,completed,none,
FL-10029,ZIP-005,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:50:00,2025-01-01T14:32:36,Nest_Alpha,Rwamagana_Clinic,28.5,medication,insulin_cold_chain,0.65,emergency,103.4,109.2,42.6,96,48.0,48.0,18.7,24.5,14.8,completed,none,
FL-10030,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:45:00,2025-01-01T13:25:24,Nest_Alpha,Kigali_East_Clinic,26.5,medication,insulin_cold_chain,0.65,scheduled,102.4,98.8,40.4,96,48.3,47.7,8.1,14.7,14.1,completed,none,
FL-10031,ZIP-002,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:20:00,2025-01-01T08:02:12,Nest_Alpha,Kigali_East_Clinic,26.5,vaccine,routine_vaccines,0.75,urgent,102.3,101.8,42.2,99,54.3,44.7,5.0,9.5,13.4,completed,none,
FL-10032,ZIP-003,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:30:00,2025-01-01T08:17:54,Nest_Alpha,Kabuga_Health_Center,34.2,vaccine,routine_vaccines,0.75,routine,100.7,107.3,47.9,96,43.5,52.5,5.0,9.5,13.4,completed,none,
FL-10033,ZIP-008,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:10:00,2025-01-01T07:25:18,Nest_Alpha,Ngoma_Health_Post,55.1,blood_product,O_negative_whole_blood,1.35,urgent,104.4,103.7,75.3,97,26.1,70.9,4.2,14.1,15.6,completed,none,
FL-10034,ZIP-001,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T17:10:00,2025-01-01T17:51:54,Nest_Alpha,Kigali_East_Clinic,26.5,blood_product,platelets_2_units,1.55,routine,100.6,108.9,41.9,96,42.2,53.8,16.8,26.4,14.7,completed,none,
FL-10035,ZIP-006,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:05:00,2025-01-01T15:20:30,Nest_Alpha,Ngoma_Health_Post,55.1,medication,antiretroviral_supply,1.05,routine,104.1,105.2,75.5,100,29.3,70.7,18.5,23.4,15.2,completed,none,
FL-10036,ZIP-001,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:45:00,2025-01-01T16:52:12,Nest_Alpha,Kayonza_Clinic,47.8,supplies,diagnostic_test_kits,0.9,routine,99.6,104.2,67.2,96,34.4,61.6,15.8,25.5,14.2,completed,none,
FL-10037,ZIP-001,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:00:00,2025-01-01T07:04:18,Nest_Alpha,Kayonza_Clinic,47.8,vaccine,routine_vaccines,0.75,routine,100.2,103.2,64.3,96,36.1,59.9,4.2,14.1,15.6,completed,none,
FL-10038,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:40:00,2025-01-01T17:42:48,Nest_Beta,Kamonyi_Health_Center,44.6,blood_product,O_negative_whole_blood,1.35,urgent,96.9,102.4,62.8,98,31.3,66.7,20.4,22.7,14.0,completed,none,
FL-10039,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:40:00,2025-01-01T08:18:24,Nest_Beta,Gisagara_Clinic,29.4,medication,insulin_cold_chain,0.65,routine,100.4,108.2,38.4,100,57.1,42.9,6.9,11.5,15.0,completed,none,
FL-10040,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:25:00,2025-01-01T17:16:00,Nest_Beta,Huye_District_Hospital,36.4,vaccine,routine_vaccines,0.75,routine,100.7,110.5,51.0,96,38.7,57.3,20.4,22.7,14.0,completed,none,
FL-10041,ZIP-013,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:35:00,2025-01-01T15:32:18,Nest_Beta,Kamonyi_Health_Center,44.6,blood_product,O_negative_whole_blood,1.35,scheduled,105.3,103.5,57.3,99,37.8,61.2,13.1,21.9,14.7,completed,none,
FL-10042,ZIP-012,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T09:20:00,2025-01-01T10:20:36,Nest_Beta,Kamonyi_Health_Center,44.6,supplies,diagnostic_test_kits,0.9,urgent,101.9,105.8,60.6,97,37.9,59.1,5.2,13.0,15.2,completed,none,
FL-10043,ZIP-015,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T11:30:00,2025-01-01T12:31:00,Nest_Beta,Kamonyi_Health_Center,44.6,medication,antiretroviral_supply,1.05,scheduled,104.3,99.0,61.0,99,39.3,59.7,15.0,23.8,14.4,completed,none,
FL-10044,ZIP-009,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T09:40:00,2025-01-01T10:34:18,Nest_Beta,Nyanza_District_Hospital,41.7,blood_product,O_negative_whole_blood,1.35,routine,105.3,97.3,54.3,99,39.4,59.6,5.2,13.0,15.2,completed,none,
FL-10045,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T11:20:00,2025-01-01T12:02:24,Nest_Beta,Gisagara_Clinic,29.4,blood_product,platelets_2_units,1.55,routine,99.4,105.0,42.4,97,49.1,47.9,15.0,23.8,14.4,completed,none,
FL-10046,ZIP-016,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:40:00,2025-01-01T14:23:48,Nest_Beta,Gisagara_Clinic,29.4,medication,insulin_cold_chain,0.65,routine,100.9,114.0,43.8,97,48.9,48.1,9.7,16.7,15.2,completed,none,
FL-10047,ZIP-012,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T09:30:00,2025-01-01T10:28:06,Nest_Beta,Kamonyi_Health_Center,44.6,medication,antiretroviral_supply,1.05,routine,105.0,97.1,58.1,98,39.0,59.0,5.2,13.0,15.2,completed,none,
FL-10048,ZIP-015,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:10:00,2025-01-01T14:59:30,Nest_Beta,Huye_District_Hospital,36.4,supplies,diagnostic_test_kits,0.9,urgent,100.7,104.5,49.5,97,42.7,54.3,13.1,21.9,14.7,completed,none,
FL-10049,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T18:00:00,2025-01-01T18:56:30,Nest_Beta,Nyanza_District_Hospital,41.7,vaccine,routine_vaccines,0.75,scheduled,99.9,105.7,56.5,100,41.9,58.1,17.5,27.0,14.1,completed,none,
FL-10050,ZIP-012,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:45:00,2025-01-01T14:38:30,Nest_Beta,Huye_District_Hospital,36.4,blood_product,platelets_2_units,1.55,scheduled,103.4,106.3,53.5,99,42.3,56.7,9.7,16.7,15.2,completed,none,
FL-10051,ZIP-011,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:50:00,2025-01-01T13:39:24,Nest_Beta,Huye_District_Hospital,36.4,supplies,diagnostic_test_kits,0.9,routine,105.7,114.4,49.4,96,44.1,51.9,8.5,13.5,15.4,completed,none,
FL-10052,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:45:00,2025-01-01T07:41:24,Nest_Beta,Nyanza_District_Hospital,41.7,medication,insulin_cold_chain,0.65,urgent,103.0,105.9,56.4,100,45.7,54.3,8.4,16.5,16.0,completed,none,
FL-10053,ZIP-016,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T17:35:00,2025-01-01T18:25:06,Nest_Beta,Huye_District_Hospital,36.4,blood_product,O_negative_whole_blood,1.35,urgent,102.0,98.8,50.1,96,37.9,58.1,21.1,30.0,15.5,completed,none,
FL-10054,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:10:00,2025-01-01T09:03:18,Nest_Beta,Huye_District_Hospital,36.4,blood_product,platelets_2_units,1.55,routine,107.4,109.0,53.3,97,40.6,56.4,3.6,7.4,15.8,completed,none,
FL-10055,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:50:00,2025-01-01T13:47:06,Nest_Beta,Nyanza_District_Hospital,41.7,medication,insulin_cold_chain,0.65,routine,99.6,107.1,57.1,98,41.7,56.3,8.5,13.5,15.4,completed,none,
FL-10056,ZIP-013,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T18:25:00,2025-01-01T19:21:12,Nest_Beta,Nyanza_District_Hospital,41.7,supplies,diagnostic_test_kits,0.9,routine,106.7,100.6,56.2,96,36.5,59.5,17.5,27.0,14.1,completed,none,
FL-10057,ZIP-012,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:25:00,2025-01-01T15:22:06,Nest_Beta,Nyanza_District_Hospital,41.7,blood_product,platelets_2_units,1.55,scheduled,102.7,107.6,57.1,99,36.6,62.4,13.1,21.9,14.7,completed,none,
FL-10058,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:10:00,2025-01-01T09:11:42,Nest_Beta,Kamonyi_Health_Center,44.6,blood_product,platelets_2_units,1.55,urgent,100.8,107.2,61.7,98,39.1,58.9,3.6,7.4,15.8,completed,none,
FL-10059,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:25:00,2025-01-01T11:19:12,Nest_Beta,Nyanza_District_Hospital,41.7,medication,antiretroviral_supply,1.05,scheduled,101.8,107.9,54.2,96,38.0,58.0,9.6,15.2,15.1,completed,none,
FL-10060,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:15:00,2025-01-01T16:09:06,Nest_Beta,Huye_District_Hospital,36.4,medication,insulin_cold_chain,0.65,urgent,99.3,114.8,54.1,98,47.2,50.8,9.3,16.8,15.1,completed,none,
FL-10061,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:10:00,2025-01-01T09:08:00,Nest_Beta,Nyanza_District_Hospital,41.7,medication,antiretroviral_supply,1.05,routine,99.9,110.3,58.0,97,42.4,54.6,3.6,7.4,15.8,completed,none,
FL-10062,ZIP-012,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T13:20:00,2025-01-01T13:59:00,Nest_Beta,Gisagara_Clinic,29.4,medication,insulin_cold_chain,0.65,routine,101.7,109.3,39.0,97,53.2,43.8,9.7,16.7,15.2,completed,none,
FL-10063,ZIP-015,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T17:45:00,2025-01-01T18:46:42,Nest_Beta,Kamonyi_Health_Center,44.6,blood_product,O_negative_whole_blood,1.35,scheduled,100.3,106.5,61.7,100,34.5,65.5,21.1,30.0,15.5,completed_delayed,parachute_release_delay,Operator event recorded; see incident corpus where applicable.
FL-10064,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:40:00,2025-01-01T11:21:36,Nest_Beta,Gisagara_Clinic,29.4,blood_product,platelets_2_units,1.55,routine,103.6,96.6,41.6,100,51.1,48.9,9.6,15.2,15.1,completed,none,
FL-10065,ZIP-010,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:50:00,2025-01-01T16:46:36,Nest_Beta,Nyanza_District_Hospital,41.7,medication,antiretroviral_supply,1.05,routine,101.1,108.5,56.6,98,35.8,62.2,9.3,16.8,15.1,completed,none,
FL-10066,ZIP-011,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:55:00,2025-01-01T15:44:00,Nest_Beta,Huye_District_Hospital,36.4,blood_product,platelets_2_units,1.55,routine,105.3,105.6,49.0,98,39.2,58.8,13.1,21.9,14.7,completed,none,
FL-10067,ZIP-011,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:10:00,2025-01-01T17:11:12,Nest_Beta,Kamonyi_Health_Center,44.6,blood_product,platelets_2_units,1.55,routine,103.0,108.0,61.2,97,31.4,65.6,20.4,22.7,14.0,completed,none,
FL-10068,ZIP-014,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:30:00,2025-01-01T11:21:12,Nest_Beta,Huye_District_Hospital,36.4,medication,antiretroviral_supply,1.05,routine,102.0,110.0,51.2,99,45.1,53.9,9.6,15.2,15.1,completed,none,
FL-10069,ZIP-011,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:10:00,2025-01-01T08:56:48,Nest_Beta,Gisagara_Clinic,29.4,medication,insulin_cold_chain,0.65,routine,102.0,109.4,46.8,97,52.2,44.8,3.6,7.4,15.8,completed,none,
FL-10070,ZIP-022,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:45:00,2025-01-01T11:41:18,Nest_Gamma,Nyabihu_Clinic,42.5,blood_product,O_negative_whole_blood,1.35,routine,99.6,109.6,56.3,100,40.5,59.5,5.6,9.2,14.7,completed,none,
FL-10071,ZIP-022,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:45:00,2025-01-01T17:30:18,Nest_Gamma,Rubavu_Clinic,31.8,medication,antiretroviral_supply,1.05,scheduled,101.9,105.2,45.3,96,50.3,45.7,14.5,24.2,15.2,completed,none,
FL-10072,ZIP-021,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:20:00,2025-01-01T13:05:00,Nest_Gamma,Rubavu_Clinic,31.8,blood_product,O_negative_whole_blood,1.35,urgent,99.8,108.2,45.0,100,50.8,49.2,8.3,10.6,13.4,completed,none,
FL-10073,ZIP-017,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:00:00,2025-01-01T08:04:42,Nest_Gamma,Gakenke_Health_Post,48.7,vaccine,routine_vaccines,0.75,routine,97.4,103.0,64.7,99,33.1,65.9,10.1,14.7,13.9,completed,none,
FL-10074,ZIP-018,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T15:25:00,2025-01-01T16:12:42,Nest_Gamma,Rubavu_Clinic,31.8,blood_product,platelets_2_units,1.55,routine,103.5,106.0,47.7,98,48.4,49.6,14.8,18.6,14.4,completed,none,
FL-10075,ZIP-019,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:25:00,2025-01-01T17:05:30,Nest_Gamma,Musanze_Clinic,30.1,blood_product,platelets_2_units,1.55,emergency,104.6,104.1,40.5,96,43.5,52.5,14.5,24.2,15.2,completed,none,
FL-10076,ZIP-023,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:20:00,2025-01-01T13:18:24,Nest_Gamma,Nyabihu_Clinic,42.5,blood_product,platelets_2_units,1.55,routine,101.3,109.5,58.4,98,41.7,56.3,8.3,10.6,13.4,completed,none,
FL-10077,ZIP-022,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T07:55:00,2025-01-01T08:43:18,Nest_Gamma,Rubavu_Clinic,31.8,medication,antiretroviral_supply,1.05,routine,104.9,106.2,48.3,100,52.4,47.6,10.1,14.7,13.9,completed,none,
FL-10078,ZIP-018,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T12:45:00,2025-01-01T13:28:18,Nest_Gamma,Musanze_Clinic,30.1,medication,antiretroviral_supply,1.05,urgent,97.1,112.1,43.3,99,54.0,45.0,8.3,10.6,13.4,completed,none,
FL-10079,ZIP-018,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:05:00,2025-01-01T08:53:06,Nest_Gamma,Rubavu_Clinic,31.8,supplies,diagnostic_test_kits,0.9,urgent,101.2,114.5,48.1,98,51.7,46.3,8.1,17.8,14.2,completed,none,
FL-10080,ZIP-017,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T06:20:00,2025-01-01T07:07:12,Nest_Gamma,Rubavu_Clinic,31.8,blood_product,O_negative_whole_blood,1.35,scheduled,102.9,114.6,47.2,98,46.6,51.4,7.3,10.5,15.8,completed,none,
FL-10081,ZIP-017,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T11:25:00,2025-01-01T12:11:30,Nest_Gamma,Rubavu_Clinic,31.8,vaccine,routine_vaccines,0.75,scheduled,101.8,102.9,46.5,98,49.1,48.9,9.7,13.5,15.7,completed,none,
FL-10082,ZIP-020,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:40:00,2025-01-01T11:27:36,Nest_Gamma,Rubavu_Clinic,31.8,blood_product,platelets_2_units,1.55,scheduled,103.0,111.9,47.6,99,47.2,51.8,5.6,9.2,14.7,completed,none,
FL-10083,ZIP-017,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T10:05:00,2025-01-01T11:04:06,Nest_Gamma,Nyabihu_Clinic,42.5,supplies,diagnostic_test_kits,0.9,emergency,99.0,95.6,59.1,96,38.6,57.4,5.6,9.2,14.7,completed,none,
FL-10084,ZIP-018,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T14:45:00,2025-01-01T15:29:36,Nest_Gamma,Musanze_Clinic,30.1,supplies,diagnostic_test_kits,0.9,routine,100.8,97.0,44.6,100,51.4,48.6,12.5,20.5,15.5,completed,none,
FL-10085,ZIP-019,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T11:10:00,2025-01-01T12:10:06,Nest_Gamma,Nyabihu_Clinic,42.5,medication,antiretroviral_supply,1.05,scheduled,98.5,98.8,60.1,96,37.9,58.1,9.7,13.5,15.7,completed,none,
FL-10086,ZIP-019,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T17:40:00,2025-01-01T18:27:24,Nest_Gamma,Rubavu_Clinic,31.8,medication,insulin_cold_chain,0.65,scheduled,106.5,98.8,47.4,97,48.5,48.5,13.2,15.2,15.7,completed,none,
FL-10087,ZIP-020,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T08:35:00,2025-01-01T09:43:00,Nest_Gamma,Gakenke_Health_Post,48.7,blood_product,O_negative_whole_blood,1.35,scheduled,102.7,96.6,68.0,100,32.8,67.2,8.1,17.8,14.2,completed,none,
FL-10088,ZIP-019,Zip_Mk4_standardized_fixed_wing,2025-01-01,2025-01-01T16:35:00,2025-01-01T17:13:36,Nest_Gamma,Musanze_Clinic,30.1,medication,antiretroviral_supply,1.05,scheduled,104.6,104.0,38.6,96,44.7,51.3,14.5,24.2,15.2,completed,none,
