snapshot_date,drone_id,battery_pack_capacity_pct,battery_cycle_count,cell_voltage_spread_mv,motor_2_vibration_mm_s,motor_2_temperature_c,tether_descent_motor_current_a,parachute_release_test_ms,gps_module_health,maintenance_status
2025-01-05,ZIP-028,95.4,200,20.4,1.22,45.6,5.69,150.0,nominal,operational
2025-01-05,ZIP-029,96.7,203,20.6,0.98,43.0,5.93,100.0,nominal,operational
2025-01-05,ZIP-030,95.8,116,14.3,1.11,42.0,5.65,119.0,nominal,operational
2025-01-06,ZIP-001,95.1,121,16.5,1.05,43.0,5.77,116.0,nominal,operational
2025-01-06,ZIP-002,95.4,124,20.0,1.04,44.8,6.17,137.0,nominal,operational
2025-01-06,ZIP-003,95.6,127,12.3,0.73,43.3,5.82,117.0,nominal,operational
2025-01-06,ZIP-004,96.2,130,20.9,1.04,43.3,5.65,103.0,nominal,operational
2025-01-06,ZIP-005,95.6,133,19.7,1.12,44.7,6.1,123.0,nominal,operational
2025-01-06,ZIP-006,95.9,136,11.7,1.26,45.7,6.01,141.0,nominal,operational
2025-01-06,ZIP-007,96.1,139,11.6,0.93,44.9,6.39,108.0,nominal,operational
2025-01-06,ZIP-008,95.3,142,18.1,0.89,42.8,5.8,143.0,nominal,operational
2025-01-06,ZIP-009,96.1,145,26.0,1.02,43.8,5.56,113.0,nominal,operational
2025-01-06,ZIP-010,95.3,148,20.7,1.09,45.1,5.8,110.0,nominal,operational
2025-01-06,ZIP-011,96.3,151,20.3,0.86,44.6,6.01,133.0,nominal,operational
2025-01-06,ZIP-012,96.1,154,22.7,1.17,44.5,5.63,66.0,nominal,operational
2025-01-06,ZIP-013,96.2,157,15.2,1.04,43.9,5.86,108.0,nominal,operational
2025-01-06,ZIP-014,95.7,160,17.5,1.12,44.4,6.08,165.0,nominal,operational
2025-01-06,ZIP-015,95.9,163,19.6,0.88,45.3,5.97,131.0,nominal,operational
2025-01-06,ZIP-016,95.6,166,14.1,1.26,47.3,6.18,94.0,nominal,operational
2025-01-06,ZIP-017,95.5,169,11.7,1.24,46.0,5.53,112.0,nominal,operational
2025-01-06,ZIP-018,95.6,172,14.3,0.78,43.6,5.68,110.0,nominal,operational
2025-01-06,ZIP-019,96.0,175,23.1,0.84,44.7,6.43,97.0,nominal,operational
2025-01-06,ZIP-020,95.5,178,14.8,1.07,42.1,5.94,140.0,nominal,operational
2025-01-06,ZIP-021,96.0,181,15.1,1.27,46.8,5.83,142.0,nominal,operational
2025-01-06,ZIP-022,96.1,184,20.0,1.05,45.0,5.41,133.0,nominal,operational
2025-01-06,ZIP-023,95.5,187,27.4,1.05,45.1,5.51,105.0,nominal,operational
2025-01-06,ZIP-024,95.2,190,17.0,0.95,41.8,5.69,113.0,nominal,operational
2025-01-06,ZIP-025,96.0,193,25.0,0.99,43.8,6.1,133.0,nominal,operational
2025-01-06,ZIP-026,96.8,196,16.2,1.08,45.8,5.59,125.0,nominal,operational
2025-01-06,ZIP-027,95.9,199,20.7,1.02,43.5,6.05,110.0,nominal,operational
2025-01-06,ZIP-028,95.4,202,18.5,0.99,44.5,5.27,119.0,nominal,operational
2025-01-06,ZIP-029,95.7,205,14.0,1.03,44.1,5.47,109.0,nominal,operational
2025-01-06,ZIP-030,95.2,118,25.9,0.9,43.3,5.82,129.0,nominal,operational
2025-01-07,ZIP-001,95.7,123,26.5,1.22,44.4,5.89,154.0,nominal,operational
2025-01-07,ZIP-002,96.1,126,25.2,0.94,44.4,5.89,127.0,nominal,operational
2025-01-07,ZIP-003,95.5,129,15.1,1.02,44.2,5.87,131.0,nominal,operational
2025-01-07,ZIP-004,95.2,132,26.5,1.19,44.9,5.5,112.0,nominal,operational
2025-01-07,ZIP-005,95.6,135,17.4,0.88,43.7,5.9,87.0,nominal,operational
2025-01-07,ZIP-006,95.3,138,17.6,1.28,43.7,5.71,106.0,nominal,operational
2025-01-07,ZIP-007,95.5,141,20.3,1.1,44.8,6.18,108.0,nominal,operational
2025-01-07,ZIP-008,95.2,144,21.3,0.85,43.3,5.66,123.0,nominal,operational
2025-01-07,ZIP-009,95.4,147,24.3,1.06,45.1,6.08,124.0,nominal,operational
2025-01-07,ZIP-010,95.9,150,23.1,1.19,41.7,5.35,118.0,nominal,operational
2025-01-07,ZIP-011,95.1,153,14.7,1.08,42.6,5.67,145.0,nominal,operational
2025-01-07,ZIP-012,95.4,156,20.4,1.19,43.1,5.57,113.0,nominal,operational
2025-01-07,ZIP-013,95.9,159,24.7,1.26,44.2,5.77,117.0,nominal,operational
2025-01-07,ZIP-014,95.8,162,21.2,1.1,43.5,5.55,114.0,nominal,operational
2025-01-07,ZIP-015,95.9,165,17.5,1.07,44.6,5.86,118.0,nominal,operational
2025-01-07,ZIP-016,95.2,168,17.4,0.94,44.7,5.89,118.0,nominal,operational
2025-01-07,ZIP-017,96.1,171,14.1,1.25,44.4,5.88,102.0,nominal,operational
2025-01-07,ZIP-018,94.8,174,21.4,1.14,44.3,5.22,128.0,nominal,operational
2025-01-07,ZIP-019,95.9,177,13.9,0.96,44.3,5.65,139.0,nominal,operational
2025-01-07,ZIP-020,95.4,180,10.6,1.09,44.6,5.72,106.0,nominal,operational
2025-01-07,ZIP-021,95.4,183,22.2,0.93,43.1,5.82,105.0,nominal,operational
2025-01-07,ZIP-022,96.4,186,22.9,1.24,44.1,5.93,104.0,nominal,operational
2025-01-07,ZIP-023,96.4,189,15.9,1.14,43.5,5.77,113.0,nominal,operational
2025-01-07,ZIP-024,95.4,192,31.6,1.13,43.2,5.71,131.0,nominal,operational
2025-01-07,ZIP-025,96.5,195,20.8,1.06,44.5,6.28,140.0,nominal,operational
2025-01-07,ZIP-026,95.6,198,21.7,0.91,42.3,5.8,114.0,nominal,operational
2025-01-07,ZIP-027,95.6,201,22.2,1.13,45.1,6.23,117.0,nominal,operational
2025-01-07,ZIP-028,95.5,204,25.9,1.06,44.2,5.84,101.0,nominal,operational
2025-01-07,ZIP-029,95.7,207,16.3,1.25,43.9,6.15,111.0,nominal,operational
2025-01-07,ZIP-030,95.4,120,24.1,0.9,43.9,6.48,144.0,nominal,operational
2025-01-08,ZIP-001,95.8,124,12.5,1.1,42.9,5.92,144.0,nominal,operational
2025-01-08,ZIP-002,95.6,127,19.8,1.24,45.8,6.03,114.0,nominal,operational
2025-01-08,ZIP-003,96.1,130,13.2,1.16,45.0,5.82,106.0,nominal,operational
2025-01-08,ZIP-004,95.4,133,16.0,1.09,44.4,6.15,142.0,nominal,operational
2025-01-08,ZIP-005,95.1,136,21.7,0.88,44.7,5.33,142.0,nominal,operational
2025-01-08,ZIP-006,95.6,139,23.9,0.95,43.8,5.43,119.0,nominal,operational
2025-01-08,ZIP-007,94.7,142,25.1,0.79,43.9,5.42,132.0,nominal,operational
2025-01-08,ZIP-008,95.0,145,8,1.04,43.9,5.86,105.0,nominal,operational
2025-01-08,ZIP-009,95.7,148,17.5,0.88,43.3,5.77,120.0,nominal,operational
2025-01-08,ZIP-010,95.9,151,21.6,0.92,43.5,5.62,155.0,nominal,operational
2025-01-08,ZIP-011,95.8,154,19.2,0.87,44.6,5.34,100.0,nominal,operational
2025-01-08,ZIP-012,96.3,157,18.6,1.0,42.6,5.95,116.0,nominal,operational
2025-01-08,ZIP-013,96.0,160,18.0,0.96,42.7,6.11,143.0,nominal,operational
2025-01-08,ZIP-014,95.8,163,23.5,0.88,43.8,5.66,156.0,nominal,operational
2025-01-08,ZIP-015,95.5,166,27.1,1.04,45.0,5.58,144.0,nominal,operational
2025-01-08,ZIP-016,95.2,169,20.0,1.06,45.8,5.85,102.0,nominal,operational
2025-01-08,ZIP-017,96.6,172,18.1,1.05,45.7,6.15,99.0,nominal,operational
2025-01-08,ZIP-018,95.4,175,17.5,1.28,46.4,5.46,106.0,nominal,operational
2025-01-08,ZIP-019,95.7,178,21.2,1.02,43.3,5.3,107.0,nominal,operational
2025-01-08,ZIP-020,95.9,181,17.7,1.15,43.5,5.71,146.0,nominal,operational
2025-01-08,ZIP-021,96.0,184,20.6,0.84,43.6,5.54,90.0,nominal,operational
2025-01-08,ZIP-022,94.8,187,23.4,0.95,42.0,5.74,121.0,nominal,operational
2025-01-08,ZIP-023,95.9,190,17.4,1.21,44.6,5.48,127.0,nominal,operational
2025-01-08,ZIP-024,95.4,193,18.9,0.85,42.3,6.44,118.0,nominal,operational
2025-01-08,ZIP-025,95.9,196,21.3,1.19,45.7,5.56,86.0,nominal,operational
2025-01-08,ZIP-026,95.0,199,20.5,1.01,43.4,5.36,115.0,nominal,operational
2025-01-08,ZIP-027,95.5,202,20.5,1.02,43.0,5.85,110.0,nominal,operational
2025-01-08,ZIP-028,95.6,205,14.7,0.97,41.4,6.0,103.0,nominal,operational
2025-01-08,ZIP-029,96.2,208,20.7,0.86,42.0,5.66,130.0,nominal,operational
2025-01-08,ZIP-030,95.1,121,24.5,0.79,44.3,5.73,100.0,nominal,operational
2025-01-09,ZIP-001,96.1,126,20.3,0.95,45.0,5.9,137.0,nominal,operational
2025-01-09,ZIP-002,95.6,129,29.4,1.11,43.1,5.81,111.0,nominal,operational
2025-01-09,ZIP-003,95.5,132,23.5,1.3,46.2,5.58,143.0,nominal,operational
2025-01-09,ZIP-004,95.5,135,34.9,1.19,45.4,5.56,111.0,nominal,operational
2025-01-09,ZIP-005,96.3,138,23.8,0.98,44.4,6.14,106.0,nominal,operational
2025-01-09,ZIP-006,95.1,141,10.9,1.2,44.4,5.94,134.0,nominal,operational
2025-01-09,ZIP-007,95.6,144,19.9,1.09,44.8,6.02,134.0,nominal,operational
2025-01-09,ZIP-008,95.1,147,9.3,1.13,42.5,5.65,126.0,nominal,operational
2025-01-09,ZIP-009,95.8,150,23.1,0.93,45.1,5.77,138.0,nominal,operational
2025-01-09,ZIP-010,95.8,153,17.2,0.89,43.2,5.45,137.0,nominal,operational
2025-01-09,ZIP-011,95.4,156,30.5,1.22,44.4,5.91,122.0,nominal,operational
2025-01-09,ZIP-012,95.5,159,21.5,1.12,44.7,6.0,141.0,nominal,operational
2025-01-09,ZIP-013,95.3,162,26.0,0.9,44.4,5.62,89.0,nominal,operational
2025-01-09,ZIP-014,95.8,165,22.9,1.08,42.8,5.52,93.0,nominal,operational
2025-01-09,ZIP-015,95.5,168,22.9,1.12,44.1,5.7,125.0,nominal,operational
2025-01-09,ZIP-016,95.1,171,19.3,1.16,44.1,5.71,146.0,nominal,operational
2025-01-09,ZIP-017,94.5,174,11.5,1.31,46.2,5.86,139.0,nominal,operational
2025-01-09,ZIP-018,95.2,177,30.0,0.92,43.8,5.86,131.0,nominal,operational
2025-01-09,ZIP-019,95.6,180,14.6,0.99,44.2,5.96,128.0,nominal,operational
2025-01-09,ZIP-020,95.1,183,17.2,1.11,44.6,5.79,77.0,nominal,operational
2025-01-09,ZIP-021,96.0,186,19.6,0.9,43.6,5.57,83.0,nominal,operational
2025-01-09,ZIP-022,96.0,189,22.5,1.05,43.3,6.4,153.0,nominal,operational
2025-01-09,ZIP-023,95.9,192,19.9,0.83,42.4,5.64,132.0,nominal,operational
2025-01-09,ZIP-024,96.0,195,24.3,0.89,43.3,5.75,153.0,nominal,operational
2025-01-09,ZIP-025,96.6,198,22.0,0.92,43.3,5.94,138.0,nominal,operational
2025-01-09,ZIP-026,95.2,201,14.9,0.89,43.9,5.97,136.0,nominal,operational
2025-01-09,ZIP-027,95.6,204,25.0,0.97,42.0,5.85,123.0,nominal,operational
2025-01-09,ZIP-028,95.5,207,27.3,1.26,45.1,5.66,130.0,nominal,operational
2025-01-09,ZIP-029,95.7,210,20.0,1.15,43.2,5.66,122.0,nominal,operational
2025-01-09,ZIP-030,95.6,123,17.0,1.17,43.5,5.45,98.0,nominal,operational
2025-01-10,ZIP-001,95.5,128,20.9,1.16,44.3,5.98,105.0,nominal,operational
2025-01-10,ZIP-002,95.8,131,16.5,1.1,42.0,5.9,103.0,nominal,operational
2025-01-10,ZIP-003,96.1,134,17.3,0.78,44.2,5.88,104.0,nominal,operational
2025-01-10,ZIP-004,95.4,137,25.6,1.04,44.1,5.94,142.0,nominal,operational
2025-01-10,ZIP-005,95.1,140,16.8,1.18,43.9,5.77,129.0,nominal,operational
2025-01-10,ZIP-006,95.4,143,19.8,0.84,43.2,5.7,107.0,nominal,operational
2025-01-10,ZIP-007,95.5,146,13.9,1.18,44.5,5.49,159.0,nominal,operational
2025-01-10,ZIP-008,96.0,149,17.2,1.13,42.6,5.92,127.0,nominal,operational
2025-01-10,ZIP-009,95.5,152,23.0,1.03,44.0,5.67,129.0,nominal,operational
2025-01-10,ZIP-010,95.7,155,20.5,1.15,43.8,5.44,135.0,nominal,operational
2025-01-10,ZIP-011,95.9,158,21.6,0.85,42.7,5.24,112.0,nominal,operational
2025-01-10,ZIP-012,95.0,161,20.4,0.83,42.9,5.85,113.0,nominal,operational
2025-01-10,ZIP-013,95.6,164,17.2,1.09,45.0,5.91,106.0,nominal,operational
2025-01-10,ZIP-014,96.0,167,22.8,0.95,44.3,6.08,123.0,nominal,operational
2025-01-10,ZIP-015,95.9,170,29.7,1.23,44.2,6.01,108.0,nominal,operational
2025-01-10,ZIP-016,95.4,173,12.9,1.15,44.8,5.51,125.0,nominal,operational
2025-01-10,ZIP-017,95.9,176,23.3,0.89,45.0,5.99,95.0,nominal,operational
2025-01-10,ZIP-018,95.3,179,13.4,0.76,42.9,5.99,138.0,nominal,operational
2025-01-10,ZIP-019,95.9,182,22.0,1.21,45.7,5.43,106.0,nominal,operational
2025-01-10,ZIP-020,95.3,185,8,0.84,44.3,5.98,136.0,nominal,operational
2025-01-10,ZIP-021,95.7,188,27.5,1.22,44.6,5.79,86.0,nominal,operational
2025-01-10,ZIP-022,95.2,191,16.1,0.78,42.7,5.72,116.0,nominal,operational
2025-01-10,ZIP-023,95.1,194,24.9,1.05,43.9,6.25,131.0,nominal,operational
