order_id,requested_at,flight_id,origin_hub,destination,clinical_category,urgency,requested_item,payload_weight_kg,service_level_minutes,order_status
ORD-00100,2025-01-01T10:30:00,FL-10099,Nest_Gamma,Rubavu_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00101,2025-01-01T13:18:00,FL-10100,Nest_Gamma,Nyabihu_Clinic,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00102,2025-01-01T13:28:00,FL-10101,Nest_Gamma,Gakenke_Health_Post,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00103,2025-01-01T17:58:00,FL-10102,Nest_Gamma,Gakenke_Health_Post,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00104,2025-01-01T05:44:00,FL-10103,Nest_Gamma,Musanze_Clinic,blood_product,emergency,platelets_2_units,1.55,30,fulfilled
ORD-00105,2025-01-01T06:42:00,FL-10104,Nest_Gamma,Gakenke_Health_Post,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00106,2025-01-01T12:13:00,FL-10105,Nest_Gamma,Gakenke_Health_Post,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00107,2025-01-01T09:16:00,FL-10106,Nest_Delta,Gicumbi_Hospital,vaccine,emergency,routine_vaccines,0.75,30,fulfilled
ORD-00108,2025-01-01T11:47:00,FL-10107,Nest_Delta,Rulindo_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00109,2025-01-01T07:27:00,FL-10108,Nest_Delta,Rulindo_Clinic,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00110,2025-01-01T15:15:00,FL-10109,Nest_Delta,Mageragere_Clinic,blood_product,urgent,platelets_2_units,1.55,30,fulfilled
ORD-00111,2025-01-01T17:41:00,FL-10110,Nest_Delta,Gicumbi_Hospital,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00112,2025-01-01T17:09:00,FL-10111,Nest_Delta,Gicumbi_Hospital,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00113,2025-01-01T04:25:00,FL-10112,Nest_Delta,Gicumbi_Hospital,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00114,2025-01-01T11:27:00,FL-10113,Nest_Delta,Mageragere_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00115,2025-01-01T13:05:00,FL-10114,Nest_Delta,Rulindo_Clinic,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00116,2025-01-01T07:11:00,FL-10115,Nest_Delta,Gicumbi_Hospital,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00117,2025-01-01T15:36:00,FL-10116,Nest_Delta,Gicumbi_Hospital,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00118,2025-01-01T12:28:00,FL-10117,Nest_Delta,Gicumbi_Hospital,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00119,2025-01-01T06:25:00,FL-10118,Nest_Delta,Gicumbi_Hospital,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00120,2025-01-01T05:47:00,FL-10119,Nest_Delta,Kicukiro_Health_Center,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00121,2025-01-01T10:48:00,FL-10120,Nest_Delta,Rulindo_Clinic,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00122,2025-01-01T06:16:00,FL-10121,Nest_Delta,Rulindo_Clinic,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00123,2025-01-01T14:44:00,FL-10122,Nest_Delta,Rulindo_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00124,2025-01-01T06:24:00,FL-10123,Nest_Delta,Gicumbi_Hospital,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00125,2025-01-01T12:13:00,FL-10124,Nest_Delta,Mageragere_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00126,2025-01-01T06:03:00,FL-10125,Nest_Delta,Gicumbi_Hospital,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00127,2025-01-01T04:38:00,FL-10126,Nest_Delta,Gicumbi_Hospital,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00128,2025-01-01T16:26:00,FL-10127,Nest_Delta,Mageragere_Clinic,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00129,2025-01-01T09:04:00,FL-10128,Nest_Delta,Kicukiro_Health_Center,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00130,2025-01-01T08:11:00,FL-10129,Nest_Delta,Kicukiro_Health_Center,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00131,2025-01-01T10:36:00,FL-10130,Nest_Delta,Gicumbi_Hospital,blood_product,emergency,O_negative_whole_blood,1.35,30,fulfilled
ORD-00132,2025-01-01T08:21:00,FL-10131,Nest_Delta,Gicumbi_Hospital,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00133,2025-01-01T10:54:00,FL-10132,Nest_Delta,Mageragere_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00134,2025-01-01T15:54:00,FL-10133,Nest_Delta,Rulindo_Clinic,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00135,2025-01-01T09:18:00,FL-10134,Nest_Delta,Mageragere_Clinic,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00136,2025-01-01T05:30:00,FL-10135,Nest_Delta,Kicukiro_Health_Center,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00137,2025-01-01T04:41:00,FL-10136,Nest_Delta,Rulindo_Clinic,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00138,2025-01-01T16:44:00,FL-10137,Nest_Delta,Kicukiro_Health_Center,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00139,2025-01-01T11:27:00,FL-10138,Nest_Delta,Gicumbi_Hospital,blood_product,emergency,O_negative_whole_blood,1.35,30,fulfilled
ORD-00140,2025-01-01T14:00:00,FL-10139,Nest_Delta,Mageragere_Clinic,vaccine,scheduled,routine_vaccines,0.75,180,fulfilled
ORD-00141,2025-01-01T05:39:00,FL-10140,Nest_Delta,Mageragere_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00142,2025-01-02T05:13:00,FL-10141,Nest_Alpha,Kabuga_Health_Center,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00143,2025-01-02T10:28:00,FL-10142,Nest_Alpha,Ngoma_Health_Post,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00144,2025-01-02T10:44:00,FL-10143,Nest_Alpha,Kigali_East_Clinic,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00145,2025-01-02T05:10:00,FL-10144,Nest_Alpha,Kabuga_Health_Center,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00146,2025-01-02T16:25:00,FL-10145,Nest_Alpha,Rwamagana_Clinic,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00147,2025-01-02T15:28:00,FL-10146,Nest_Alpha,Rwamagana_Clinic,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00148,2025-01-02T12:36:00,FL-10147,Nest_Alpha,Kabuga_Health_Center,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00149,2025-01-02T10:59:00,FL-10148,Nest_Alpha,Ngoma_Health_Post,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00150,2025-01-02T13:38:00,FL-10149,Nest_Alpha,Kabuga_Health_Center,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00151,2025-01-02T09:16:00,FL-10150,Nest_Alpha,Kayonza_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00152,2025-01-02T08:29:00,FL-10151,Nest_Alpha,Rwamagana_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00153,2025-01-02T15:27:00,FL-10152,Nest_Alpha,Kabuga_Health_Center,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00154,2025-01-02T15:02:00,FL-10153,Nest_Alpha,Rwamagana_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00155,2025-01-02T13:28:00,FL-10154,Nest_Alpha,Kayonza_Clinic,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00156,2025-01-02T14:00:00,FL-10155,Nest_Alpha,Rwamagana_Clinic,medication,scheduled,insulin_cold_chain,0.65,180,fulfilled
ORD-00157,2025-01-02T04:50:00,FL-10156,Nest_Alpha,Ngoma_Health_Post,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00158,2025-01-02T09:45:00,FL-10157,Nest_Alpha,Rwamagana_Clinic,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00159,2025-01-02T16:17:00,FL-10158,Nest_Alpha,Ngoma_Health_Post,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00160,2025-01-02T08:51:00,FL-10159,Nest_Alpha,Ngoma_Health_Post,blood_product,routine,platelets_2_units,1.55,180,fulfilled
ORD-00161,2025-01-02T10:06:00,FL-10160,Nest_Alpha,Rwamagana_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00162,2025-01-02T06:55:00,FL-10161,Nest_Alpha,Ngoma_Health_Post,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00163,2025-01-02T07:43:00,FL-10162,Nest_Alpha,Ngoma_Health_Post,supplies,scheduled,diagnostic_test_kits,0.9,180,fulfilled
ORD-00164,2025-01-02T04:57:00,FL-10163,Nest_Alpha,Bugesera_Health_Post,medication,routine,antiretroviral_supply,1.05,180,fulfilled
ORD-00165,2025-01-02T06:32:00,FL-10164,Nest_Alpha,Ngoma_Health_Post,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00166,2025-01-02T09:04:00,FL-10165,Nest_Alpha,Bugesera_Health_Post,supplies,urgent,diagnostic_test_kits,0.9,30,fulfilled
ORD-00167,2025-01-02T10:40:00,FL-10166,Nest_Alpha,Ngoma_Health_Post,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00168,2025-01-02T13:56:00,FL-10167,Nest_Alpha,Ngoma_Health_Post,medication,urgent,insulin_cold_chain,0.65,30,fulfilled
ORD-00169,2025-01-02T10:14:00,FL-10168,Nest_Alpha,Rwamagana_Clinic,medication,urgent,antiretroviral_supply,1.05,30,fulfilled
ORD-00170,2025-01-02T14:32:00,FL-10169,Nest_Alpha,Kayonza_Clinic,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00171,2025-01-02T12:23:00,FL-10170,Nest_Alpha,Kayonza_Clinic,vaccine,scheduled,routine_vaccines,0.75,180,fulfilled
ORD-00172,2025-01-02T11:23:00,FL-10171,Nest_Alpha,Kigali_East_Clinic,blood_product,scheduled,platelets_2_units,1.55,180,fulfilled
ORD-00173,2025-01-02T10:30:00,FL-10172,Nest_Alpha,Kabuga_Health_Center,vaccine,routine,routine_vaccines,0.75,180,fulfilled
ORD-00174,2025-01-02T10:50:00,FL-10173,Nest_Alpha,Kabuga_Health_Center,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00175,2025-01-02T05:28:00,FL-10174,Nest_Alpha,Rwamagana_Clinic,supplies,emergency,diagnostic_test_kits,0.9,30,fulfilled
ORD-00176,2025-01-02T08:52:00,FL-10175,Nest_Alpha,Ngoma_Health_Post,supplies,routine,diagnostic_test_kits,0.9,180,fulfilled
ORD-00177,2025-01-02T15:32:00,FL-10176,Nest_Alpha,Kabuga_Health_Center,medication,scheduled,antiretroviral_supply,1.05,180,fulfilled
ORD-00178,2025-01-02T09:34:00,FL-10177,Nest_Beta,Huye_District_Hospital,medication,routine,insulin_cold_chain,0.65,180,fulfilled
ORD-00179,2025-01-02T10:35:00,FL-10178,Nest_Beta,Gisagara_Clinic,blood_product,scheduled,O_negative_whole_blood,1.35,180,fulfilled
ORD-00180,2025-01-02T10:56:00,FL-10179,Nest_Beta,Kamonyi_Health_Center,blood_product,urgent,O_negative_whole_blood,1.35,30,fulfilled
ORD-00181,2025-01-02T11:38:00,FL-10180,Nest_Beta,Gisagara_Clinic,blood_product,routine,O_negative_whole_blood,1.35,180,fulfilled
ORD-00182,2025-01-02T13:11:00,FL-10181,Nest_Beta,Nyanza_District_Hospital,blood_product,routine,platelets_2_units,1.55,180,fulfilled
